2600
-2200425508125/16777216 7239065835625/33554432 975637788125/8388608 -4545988695625/33554432
2024594024375/33554432 6731794704375/33554432 746017991875/33554432 -6476592776875/33554432
-2039743980625/16777216 1287112945625/33554432 -689973269375/16777216 7144692351875/33554432
8569011709375/33554432 443063131875/8388608 -3507893244375/16777216 -168497021875/16777216
-1116724561875/16777216 5202616453125/33554432 7706601654375/33554432 -4536640964375/33554432
-3569156605625/33554432 620678686875/16777216 7490921449375/33554432 -803381921875/33554432
3388981431875/16777216 -1073818126875/4194304 363507893125/8388608 -811130653125/8388608
3649684731875/33554432 3657822163125/16777216 -4693486143125/33554432 362181048125/4194304
3167421749375/16777216 -1206483126875/16777216 -2955233669375/33554432 5333712645625/33554432
-5254055356875/33554432 578106416875/33554432 -2754174580625/33554432 644705741875/16777216
806721654375/33554432 -5226286105625/33554432 7730814008125/33554432 -4341914273125/16777216
6581940243125/33554432 -5324183661875/33554432 -4792080970625/33554432 2244449780625/33554432
-287082258125/16777216 8072844560625/33554432 -283440080625/33554432 -1064644823125/16777216
290663546875/33554432 -5994847048125/33554432 338560941875/4194304 16378285625/131072
643922508125/33554432 112170719375/4194304 5710420259375/33554432 -3782627964375/16777216
-468307831875/8388608 383581859375/16777216 1254575196875/33554432 -611673830625/16777216
3688506729375/16777216 -3966048669375/33554432 601572521875/16777216 3023200318125/16777216
5475675164375/33554432 918260549375/16777216 -1010494948125/8388608 -448531776875/33554432
-1055711970625/4194304 3020278990625/16777216 82423128125/33554432 66396224375/8388608
-2329202159375/16777216 -7453396738125/33554432 -1890640838125/8388608 -3440789844375/16777216
-5461782958125/33554432 -895124498125/8388608 3803562124375/16777216 1846236185625/33554432
-886778384375/33554432 939019095625/8388608 -1322326971875/16777216 -2463018796875/33554432
7004830625/524288 6825655809375/33554432 5513101270625/33554432 4636585468125/33554432
-1538760039375/16777216 4385299010625/33554432 3462264950625/16777216 291355179375/2097152
1844271219375/33554432 -124600116875/4194304 -134211748125/8388608 1478405101875/33554432
5587211491875/33554432 3644541688125/16777216 859048783125/33554432 -4084369046875/33554432
222909675625/33554432 5399733178125/33554432 -1245993815625/8388608 3035871775625/16777216
1261256628125/16777216 6338252350625/33554432 3323032496875/16777216 3548891019375/16777216
4222917050625/33554432 -1449032121875/8388608 -2148946889375/8388608 4248442745625/33554432
331946330625/2097152 -3687063518125/16777216 1722871385625/33554432 1737558834375/16777216
1426730069375/16777216 4117163058125/16777216 210550120625/4194304 1230230763125/33554432
7173155624375/33554432 -1128638948125/16777216 -693393585625/4194304 -2570434091875/16777216
-2220804275625/33554432 74918975625/33554432 6080629010625/33554432 5846850140625/33554432
854098513125/8388608 -981491558125/33554432 -8568697418125/33554432 1865312418125/33554432
6336387598125/33554432 174531004375/4194304 473913984375/8388608 -4345393138125/33554432
-8233467701875/33554432 3058165800625/33554432 -1262104796875/8388608 -1352621960625/33554432
-4620039945625/33554432 299474833125/4194304 3259616351875/33554432 299212574375/33554432
-63322845625/8388608 -3683751150625/33554432 -2164654074375/8388608 2120113425625/16777216
-2400868413125/33554432 -3518177333125/16777216 -4096182878125/33554432 -7931265281875/33554432
-4487241126875/33554432 -4308063979375/16777216 -222724994375/4194304 3461223813125/33554432
8017157126875/33554432 4311760659375/33554432 6202860373125/33554432 -302746023125/8388608
-30334971875/2097152 5583033649375/33554432 -3525246700625/33554432 1168926663125/8388608
2463791744375/16777216 -3184544748125/16777216 1879115379375/8388608 -1070107033125/8388608
-296259851875/16777216 868841829375/16777216 5340091664375/33554432 -5886001119375/33554432
3952679323125/33554432 -915961499375/4194304 3526666495625/33554432 -330570719375/33554432
6751500201875/33554432 -155561469375/1048576 -104733435625/1048576 -6407661609375/33554432
-2231646519375/33554432 -3045429115625/16777216 -5110239883125/33554432 -7172612419375/33554432
1246736700625/33554432 1101671130625/33554432 5921616764375/33554432 -579144824375/33554432
-8299698281875/33554432 62821354375/33554432 234771314375/33554432 -1709653993125/8388608
-1073079873125/33554432 3777513764375/33554432 -710391816875/33554432 3814423916875/33554432
1849874706875/8388608 -460517728125/16777216 -4127535156875/33554432 -1829802999375/8388608
1439223833125/33554432 -1369628934375/33554432 -2393152214375/33554432 -7307226363125/33554432
3417500003125/16777216 5795802796875/33554432 6221250091875/33554432 332600848125/4194304
-1648747904375/33554432 -554087974375/4194304 -5441020723125/33554432 1028717698125/33554432
-1378610033125/33554432 2825488583125/33554432 6223036665625/33554432 -29265591875/4194304
-234134151875/33554432 -1406399125625/33554432 -4014631408125/16777216 -1017008419375/8388608
3858860354375/33554432 -3956138574375/16777216 4021532896875/33554432 6556304600625/33554432
-3619629983125/16777216 100869981875/8388608 4120248380625/33554432 -7143934029375/33554432
-1792788830625/16777216 -5289202254375/33554432 3734810625/16384 -551364458125/33554432
7775600958125/33554432 -3390241245625/33554432 -2066238939375/33554432 6796448579375/33554432
-29481993125/33554432 -3969671915625/33554432 4310217689375/33554432 -7149075074375/33554432
-4153679164375/16777216 6100025254375/33554432 142715454375/2097152 1957954691875/33554432
1787391149375/33554432 -2106763725625/8388608 213351831875/8388608 -380559456875/8388608
-577083739375/8388608 -6437497779375/33554432 1429953175625/33554432 -1013853221875/4194304
2292972296875/16777216 -3295116410625/16777216 6938909745625/33554432 -465908763125/2097152
-421875228125/33554432 -7652077135625/33554432 186726645625/8388608 -1611463059375/16777216
29573074375/131072 -8264479006875/33554432 6583150169375/33554432 -3198286593125/33554432
2403584113125/33554432 -751214579375/4194304 -401630831875/8388608 -7811051568125/33554432
-3969873740625/16777216 2905161276875/16777216 324647155625/16777216 2562188403125/16777216
7338168361875/33554432 -1495308985625/16777216 4077178113125/33554432 4099995550625/33554432
3553824893125/16777216 6722042916875/33554432 -6312075030625/33554432 310860574375/16777216
-2243320746875/16777216 6571289278125/33554432 7834086609375/33554432 613178791875/33554432
679241314375/33554432 82370494375/1048576 -2271851391875/16777216 3068986545625/16777216
-322583340625/2097152 -4037336379375/16777216 -3804368709375/33554432 -7027125519375/33554432
-5222716419375/33554432 4870315750625/33554432 7864601875/16777216 -4564908375625/33554432
168147370625/8388608 -7975529144375/33554432 2009163788125/33554432 -157537680625/1048576
2471767894375/16777216 -5116229811875/33554432 -2108841840625/33554432 -5311026686875/33554432
1747716026875/8388608 719843418125/33554432 -1670980406875/33554432 -3062413063125/16777216
61907048125/1048576 -2356148445625/33554432 7309312781875/33554432 -1163101875/65536
-376461970625/16777216 7223004286875/33554432 -3201572278125/16777216 -482244953125/2097152
54442058125/1048576 -230663103125/2097152 6572699810625/33554432 -7185581479375/33554432
2668113459375/16777216 3556464786875/33554432 -2560695336875/16777216 -8718235378125/33554432
-5559594373125/33554432 -4258066889375/16777216 658296185625/16777216 210107275625/4194304
-2086441784375/8388608 823752336875/33554432 -6267591663125/33554432 1447377888125/33554432
506535534375/2097152 521384053125/16777216 2152350906875/16777216 -5766894111875/33554432
-8118669999375/33554432 -701043646875/33554432 345498521875/2097152 542239400625/8388608
-3433155756875/33554432 1788965693125/33554432 533787856875/2097152 -6586572598125/33554432
1434586570625/33554432 -780231424375/4194304 -7943932758125/33554432 -201847059375/4194304
-3192562238125/33554432 -96820010625/4194304 -6897486415625/33554432 2092763018125/16777216
127022098125/524288 3718584488125/33554432 5008896400625/33554432 -918263896875/8388608
3209333375625/33554432 2959102778125/33554432 6084107794375/33554432 5061200763125/33554432
2941200299375/33554432 -4036257070625/16777216 2537200859375/16777216 -1106959124375/33554432
219539848125/16777216 1485312684375/8388608 -1182358328125/16777216 3200035174375/16777216
-145079650625/1048576 -1493129844375/16777216 17201916875/262144 1714607058125/16777216
-7139797868125/33554432 896242676875/16777216 1050208501875/33554432 -5690238295625/33554432
4982707689375/33554432 -1232874816875/33554432 6009592151875/33554432 -2939708061875/33554432
4839858684375/33554432 -6879336953125/33554432 3314352283125/33554432 -803467153125/33554432
-7370810403125/33554432 -1985745311875/33554432 -7662584791875/33554432 -3741933625625/33554432
7990960956875/33554432 -5901439773125/33554432 1034207370625/33554432 107195684375/8388608
-4227171073125/33554432 6481044269375/33554432 766508738125/8388608 -7891298634375/33554432
453283585625/16777216 -3161396915625/33554432 1480279116875/33554432 3035602366875/16777216
1440020700625/33554432 5494315311875/33554432 5704621251875/33554432 -78404876875/2097152
-20254479375/131072 766697433125/8388608 5409932084375/33554432 -7933895783125/33554432
-475794596875/8388608 800452631875/8388608 -6263964874375/33554432 -2357287424375/16777216
8163608643125/33554432 7135134670625/33554432 -8274748178125/33554432 4141175488125/33554432
3030170479375/33554432 310048513125/4194304 -2621133165625/16777216 -1257948209375/16777216
3852285490625/33554432 -2794198281875/16777216 3371220961875/16777216 6632673125/8388608
1680737118125/16777216 -5505496758125/33554432 -3977980020625/16777216 1603774550625/33554432
4099659354375/33554432 -3987174790625/33554432 8497710885625/33554432 6384210259375/33554432
-896228360625/4194304 7326471806875/33554432 4975656294375/33554432 -3917765856875/16777216
-1187835731875/16777216 -1038501855625/33554432 4496916474375/33554432 -7516508228125/33554432
175927464375/2097152 1893799399375/16777216 1409117539375/33554432 -200931745625/4194304
-7776067138125/33554432 215185481875/2097152 5035302796875/33554432 -119575503125/1048576
4113699403125/16777216 1378796323125/33554432 -981515884375/4194304 -3862300853125/33554432
-4298163926875/33554432 -1020745870625/33554432 -196935106875/1048576 -596275850625/16777216
3225812825625/33554432 -2160693283125/33554432 -8196290708125/33554432 -73031863125/524288
2529857110625/33554432 -2003350123125/16777216 76736115625/1048576 -104426895625/1048576
-6785711960625/33554432 1074782515625/33554432 -2479026151875/33554432 5532093620625/33554432
18202526875/33554432 489898638125/33554432 -2463127850625/16777216 -5449629453125/33554432
6089653561875/33554432 2331857263125/16777216 382098120625/4194304 -200694446875/2097152
-3867871304375/16777216 3716849735625/16777216 -3858475570625/33554432 -3963649340625/16777216
-1149351279375/8388608 -1279769343125/8388608 708563318125/8388608 -1809115969375/8388608
-1008778119375/8388608 -3023601043125/16777216 8099343663125/33554432 -412067134375/33554432
451296064375/2097152 1839537009375/33554432 -4623550351875/33554432 -2492185613125/16777216
-1998349721875/8388608 5497355768125/33554432 6938483394375/33554432 3523730689375/33554432
-984486953125/4194304 457773476875/8388608 -3012141819375/16777216 -6550698334375/33554432
-7116734015625/33554432 -6891382021875/33554432 -1000931059375/8388608 -5224925915625/33554432
-2723465964375/33554432 -6830627740625/33554432 318655796875/2097152 -6233033584375/33554432
-516585298125/33554432 585324000625/16777216 3710787250625/16777216 -43674125625/33554432
3381389090625/16777216 -7200855065625/33554432 2943102914375/16777216 1699169216875/33554432
1883076333125/8388608 -3055002039375/33554432 -7092588969375/33554432 -342952406875/2097152
-4022681544375/16777216 353729341875/16777216 -8609848186875/33554432 -3621469840625/16777216
771700889375/33554432 -1789248378125/8388608 2126046138125/16777216 707367025625/4194304
2156470850625/8388608 1132198543125/8388608 3349481890625/16777216 -415964355625/33554432
-500638653125/2097152 -240572158125/1048576 2479751291875/16777216 3380498460625/16777216
-3848835339375/33554432 144801921875/33554432 -7643945083125/33554432 1358676515625/8388608
-509316624375/8388608 -4093409409375/33554432 -395889333125/33554432 6741722203125/33554432
-4630461818125/33554432 637656930625/8388608 -73389411875/8388608 4265328413125/33554432
3155363713125/16777216 -5689243844375/33554432 -3348532403125/16777216 902960069375/8388608
-2728654296875/33554432 -3347671868125/33554432 8618183185625/33554432 -1321292870625/8388608
6352998949375/33554432 -775905983125/16777216 2875101636875/33554432 6528565460625/33554432
6454638523125/33554432 -6298176535625/33554432 -2349014273125/33554432 -3768067980625/16777216
-3909833760625/33554432 -5861386643125/33554432 -1053100026875/16777216 -1482475239375/33554432
-580764851875/4194304 -1328589380625/16777216 418850079375/33554432 6155332649375/33554432
-2054394866875/33554432 4333464484375/33554432 -5171275906875/33554432 4403647291875/33554432
-805208633125/33554432 1467473905625/16777216 -887944988125/4194304 -2451147781875/33554432
-419738710625/2097152 1828047040625/16777216 259303500625/33554432 16108730625/8388608
7785753681875/33554432 -2063720351875/8388608 8608556133125/33554432 -399202366875/33554432
-1165043010625/33554432 -133427864375/8388608 1300758688125/16777216 2499488411875/16777216
-1443508941875/8388608 -795428424375/16777216 -5587383660625/33554432 2593470303125/16777216
-1504925378125/16777216 1189429645625/8388608 5929218530625/33554432 -3930815874375/33554432
211964016875/2097152 -7932022076875/33554432 -359708643125/2097152 2683698021875/16777216
-3956436648125/16777216 -1876354975625/33554432 2018327260625/8388608 6110586795625/33554432
6543873220625/33554432 -269542788125/1048576 1787300003125/8388608 312949934375/33554432
-7058719013125/33554432 -87880333125/524288 1493480828125/16777216 -4179679863125/16777216
-370589513125/8388608 98994065625/33554432 -3307622508125/33554432 8234383421875/33554432
2096966080625/33554432 2240432796875/16777216 -1147793343125/16777216 -172167929375/1048576
2367250559375/16777216 -2964772061875/33554432 -7616327769375/33554432 -4976186466875/33554432
7852076204375/33554432 191351314375/8388608 -746904689375/8388608 1424348859375/33554432
4062226991875/33554432 8593310870625/33554432 1931904495625/33554432 523351489375/4194304
-3776310744375/16777216 217956480625/33554432 -862570385625/8388608 -166803105625/8388608
1615262130625/8388608 4800695794375/33554432 -2322658918125/33554432 1718269645625/33554432
-8426374409375/33554432 -409648516875/8388608 1247068070625/8388608 3625053778125/33554432
-3812784730625/33554432 1123627561875/16777216 5438226210625/33554432 -4321065636875/16777216
393973701875/2097152 232877279375/4194304 1095769553125/8388608 1743456609375/33554432
-65129179375/1048576 -394662133125/2097152 -3958179184375/16777216 -487788266875/16777216
-1470899698125/33554432 -372783425625/16777216 3257684421875/16777216 3465634713125/16777216
6372682606875/33554432 425703906875/33554432 7357531845625/33554432 -3335446440625/16777216
-4050834279375/16777216 -649511175625/8388608 5107451951875/33554432 1494346498125/33554432
443173778125/8388608 -2980761606875/33554432 -95750386875/524288 -6778441759375/33554432
8481889203125/33554432 -689246081875/4194304 2431906725625/33554432 35533883125/16777216
-2658196555625/33554432 2526385265625/33554432 44754295625/2097152 5513263803125/33554432
6992012990625/33554432 -1907259583125/8388608 -7331777236875/33554432 -8754208125/16777216
528836026875/2097152 648931863125/16777216 8172475049375/33554432 -387512230625/4194304
-1438085325625/33554432 5666321139375/33554432 -484261415625/16777216 176621046875/1048576
-2529301978125/33554432 408130133125/33554432 661459816875/4194304 1079639754375/8388608
3287708490625/33554432 7127831156875/33554432 1622976346875/33554432 4615855131875/33554432
1758266761875/33554432 -7967315516875/33554432 1031276666875/8388608 990692096875/4194304
7811087496875/33554432 1403790821875/16777216 3064255471875/16777216 -1188825015625/16777216
5934730790625/33554432 -8406701151875/33554432 -4765533589375/33554432 -1121010629375/16777216
1000910421875/4194304 -1511545969375/16777216 -744178004375/16777216 -948306133125/8388608
-3014488351875/33554432 197598951875/16777216 -859599414375/16777216 -1059802290625/4194304
693576869375/16777216 -2247681661875/16777216 524744341875/16777216 -823076710625/33554432
-4503279080625/33554432 -7592553661875/33554432 19033990625/4194304 139007578125/2097152
53714139375/262144 2866761600625/33554432 5103433814375/33554432 -1460013498125/16777216
2135649985625/33554432 -37044580625/2097152 134291308125/4194304 -6663493256875/33554432
3199142431875/33554432 -2614773338125/33554432 1218869786875/8388608 822769000625/16777216
-1174212235625/16777216 3442386504375/33554432 -5110638983125/33554432 1228958973125/33554432
-1046148211875/4194304 5709147185625/33554432 590741880625/16777216 6000422081875/33554432
3749644153125/33554432 -7335497300625/33554432 -3161865695625/16777216 -1805790780625/8388608
-1033429515625/16777216 -889290471875/16777216 3536228743125/33554432 -184540793125/2097152
-5909473188125/33554432 -7193331591875/33554432 -7383515481875/33554432 143473419375/33554432
3650253124375/16777216 1767899989375/8388608 -2312117250625/33554432 2388826610625/33554432
-636561339375/16777216 578266203125/8388608 1786494458125/8388608 1066553011875/4194304
4004026121875/33554432 1486680316875/16777216 -1178003409375/33554432 4393182616875/33554432
-3890190451875/33554432 410937710625/8388608 -1086721471875/8388608 -1913843563125/33554432
245438269375/8388608 8427762760625/33554432 -8432310615625/33554432 -1765161978125/33554432
807118804375/16777216 389540376875/33554432 -441282863125/4194304 386148741875/33554432
6455027824375/33554432 -1086106539375/16777216 3873369118125/16777216 3887012926875/16777216
838391783125/33554432 -1943132238125/33554432 -295444069375/2097152 1154069743125/16777216
-32345625/131072 4984809821875/33554432 297070418125/4194304 -420046696875/4194304
-6650702345625/33554432 -2553160358125/33554432 -471848966875/33554432 -4436883514375/33554432
11617425625/1048576 -7677882541875/33554432 1092711140625/8388608 665371159375/33554432
-543816739375/33554432 4657546960625/33554432 -757832911875/33554432 506286291875/16777216
3225442683125/16777216 461574790625/33554432 -7430519598125/33554432 -5085159210625/33554432
-3140274369375/16777216 -2114494955625/8388608 4382491888125/33554432 -441016021875/8388608
2888247253125/16777216 599938064375/16777216 -2037177406875/8388608 2732694680625/16777216
-3522084076875/16777216 -3365972374375/33554432 1603328439375/8388608 418260740625/16777216
-8495752825625/33554432 -402332636875/8388608 6808229016875/33554432 923681565625/4194304
-2119196064375/33554432 -8004048251875/33554432 8255066373125/33554432 8331447466875/33554432
-4286345415625/33554432 101292043125/4194304 -1371052938125/16777216 1895266319375/33554432
4579273798125/33554432 -4600020254375/33554432 6225568285625/33554432 -6305681988125/33554432
1630889511875/8388608 4991983644375/33554432 -910755535625/8388608 -747690506875/33554432
2204047356875/16777216 -8204838029375/33554432 7428181223125/33554432 7507917259375/33554432
-2884446605625/16777216 831340030625/33554432 5326272095625/33554432 -7238064949375/33554432
-2125027490625/33554432 -3699387940625/33554432 -1107489361875/33554432 -7461710758125/33554432
127901548125/33554432 -3285956074375/16777216 -1292399509375/33554432 -488580373125/16777216
-876190518125/16777216 -779402918125/4194304 255520890625/16777216 -1074803201875/4194304
6795120808125/33554432 -266522205625/2097152 -2152190243125/16777216 -416597683125/8388608
8070360098125/33554432 1128925955625/33554432 1091635569375/33554432 8487377770625/33554432
-213264358125/33554432 511055293125/8388608 1433128125/8388608 1940759835625/8388608
1731356875625/33554432 -1471676659375/16777216 -4785883204375/33554432 -2922966353125/33554432
-8020219081875/33554432 -1330996875/8192 -6398305379375/33554432 -5654874541875/33554432
-430764709375/4194304 -28937894375/131072 -14909285625/2097152 -819520609375/16777216
2336140210625/33554432 7305934585625/33554432 -91815790625/33554432 715507089375/33554432
900619078125/33554432 153851806875/33554432 -266027945625/16777216 45808595625/4194304
-187938684375/4194304 3343171349375/33554432 484899959375/16777216 -3612685334375/16777216
-211231743125/2097152 -4099928649375/33554432 -4717031158125/33554432 -3378993743125/33554432
248741228125/1048576 1780051625625/16777216 -471878168125/2097152 -838011354375/16777216
13423255625/524288 -2097659273125/8388608 -5824214394375/33554432 -449420180625/16777216
6092751981875/33554432 -3465465713125/16777216 2115352484375/16777216 -2200679934375/16777216
536952268125/8388608 966655551875/16777216 1828862855625/33554432 -7346715406875/33554432
-8858305625/33554432 -186811113125/1048576 2043905946875/16777216 -21843046875/33554432
4593963749375/33554432 -1027041705625/4194304 -4008575309375/16777216 8224972543125/33554432
7078879283125/33554432 3859053014375/33554432 562199795625/16777216 -329985898125/4194304
-530384911875/16777216 83170140625/524288 -1467684131875/16777216 271841058125/4194304
-1972423821875/16777216 4310962540625/33554432 3013773563125/16777216 -6298499796875/33554432
107105155625/2097152 -268992059375/33554432 8167421136875/33554432 -3256190445625/33554432
325631255625/16777216 6918780155625/33554432 -7402256168125/33554432 -249960839375/16777216
8519937619375/33554432 4814858189375/33554432 -92924251875/4194304 2924711781875/16777216
-2519388291875/16777216 -417087636875/2097152 -1051133338125/33554432 1916416701875/33554432
-734261571875/8388608 1044271824375/16777216 8515690698125/33554432 5852573244375/33554432
-6355020709375/33554432 -3982813550625/16777216 -348464569375/2097152 -2303289178125/33554432
-5194524489375/33554432 -385089826875/8388608 -5657838476875/33554432 -1982066506875/16777216
151984389375/16777216 1437009315625/33554432 4306550649375/16777216 -1364015388125/16777216
266505224375/33554432 -467869098125/4194304 1084429214375/8388608 5767576221875/33554432
2422151281875/33554432 8124577670625/33554432 8679589579375/33554432 1377530496875/8388608
-7867000513125/33554432 7693883624375/33554432 -2167608291875/8388608 265213479375/2097152
-1985239384375/33554432 1507511890625/16777216 1358554380625/33554432 -2079420240625/8388608
-2898668426875/33554432 -2966829116875/16777216 -1124527096875/8388608 -5668695345625/33554432
-2189886814375/33554432 476673900625/33554432 -2294863504375/33554432 -785545905625/8388608
-1371105604375/33554432 -7397000316875/33554432 644945689375/4194304 -8033273405625/33554432
-2093366250625/16777216 1236065504375/33554432 -284019116875/2097152 5884781394375/33554432
603764614375/4194304 5473569326875/33554432 698915319375/16777216 -521833316875/33554432
-437834596875/8388608 39526296875/1048576 -289178556875/33554432 3588580019375/33554432
3712865788125/16777216 3003297968125/16777216 -4099403628125/16777216 2114770409375/16777216
-6196893275625/33554432 -6499903255625/33554432 2106928256875/16777216 4709704959375/33554432
-8162069963125/33554432 -4785499883125/33554432 7965375006875/33554432 -7636036403125/33554432
4524079941875/33554432 -6163891378125/33554432 -2170229449375/8388608 6849423563125/33554432
185884603125/8388608 -6942403495625/33554432 5479228925625/33554432 7846186278125/33554432
-1135094845625/16777216 566332901875/8388608 -2783724393125/33554432 -1673860118125/8388608
7729533280625/33554432 -1023698690625/8388608 688429275625/16777216 -1911765838125/33554432
5461870854375/33554432 1059759991875/16777216 29074134375/1048576 -4947327864375/33554432
6254203141875/33554432 1319048859375/16777216 2097394771875/8388608 345891040625/33554432
-6909407448125/33554432 562745389375/8388608 -1847909659375/16777216 -5024173903125/33554432
2295936979375/33554432 -105813556875/8388608 3602091520625/16777216 5163354958125/33554432
-2129460084375/8388608 -2692776929375/33554432 -1815037956875/16777216 3538196764375/16777216
-2404198249375/33554432 -4608907151875/33554432 -7712464118125/33554432 -5583677198125/33554432
-1198406308125/16777216 -7549820695625/33554432 -1525216639375/33554432 139214700625/33554432
-438166226875/33554432 5278948731875/33554432 707028440625/4194304 2174616656875/33554432
512934248125/4194304 -7823910908125/33554432 992201104375/33554432 69586408125/2097152
-3021826413125/16777216 -860360840625/4194304 974421101875/16777216 -509129879375/2097152
2372348119375/33554432 2119623910625/16777216 3486804075625/33554432 -1109625229375/33554432
-624202548125/33554432 -867034910625/8388608 2776466038125/16777216 -204100658125/8388608
-84461170625/8388608 212991748125/33554432 4139084031875/33554432 2043879313125/33554432
-4279417114375/33554432 1545846014375/8388608 -5713731164375/33554432 7457480850625/33554432
-3449460958125/16777216 7265610844375/33554432 -505767949375/33554432 6336446244375/33554432
1441145070625/33554432 933480445625/4194304 -889568931875/8388608 8077947174375/33554432
-3398852494375/33554432 2101434765625/8388608 301460631875/16777216 -209641518125/16777216
969411210625/33554432 57670998125/16777216 -2433597456875/33554432 -5623095489375/33554432
-3006485373125/16777216 3275432493125/33554432 2154169850625/16777216 -1613788986875/8388608
-6210055336875/33554432 6229767204375/33554432 -1897947049375/16777216 806615265625/8388608
-1393466741875/33554432 5970206783125/33554432 -7962538146875/33554432 52800580625/16777216
-5133807063125/33554432 6779714264375/33554432 1487350775625/16777216 411910305625/8388608
-4062316090625/16777216 555552375625/4194304 3849993298125/16777216 2078019555625/33554432
-4050012078125/16777216 8244760753125/33554432 -740071564375/4194304 7043342889375/33554432
894040866875/8388608 479035838125/4194304 4011918438125/33554432 2142804210625/33554432
8114723881875/33554432 5472007084375/33554432 -2283267033125/33554432 -8347495820625/33554432
-471931045625/16777216 -1949597609375/33554432 -2889346321875/33554432 -2171991794375/16777216
-439338615625/16777216 3022255201875/16777216 -1913860966875/16777216 4810433265625/33554432
-433379301875/2097152 -2427623794375/16777216 2741302500625/33554432 -3920419855625/33554432
970866820625/16777216 -7055138406875/33554432 2727494306875/16777216 4030103406875/16777216
-2668513030625/16777216 -8202541660625/33554432 -3713226391875/16777216 -314175948125/2097152
8030585216875/33554432 -2365658091875/16777216 64317004375/1048576 37048220625/2097152
3087433480625/16777216 -525251049375/33554432 -1076695595625/33554432 237339220625/4194304
1949028924375/8388608 -66601949375/33554432 7604697254375/33554432 3659685355625/33554432
-4054187044375/16777216 7335517141875/33554432 493183900625/2097152 -1510178905625/16777216
2805942205625/33554432 -534834308125/16777216 1456344930625/16777216 3135480164375/16777216
2574769445625/16777216 6250926573125/33554432 1141146573125/33554432 144399929375/8388608
-2535737124375/16777216 1073191949375/4194304 -6022534375/131072 -7483138316875/33554432
-2306637068125/16777216 1749117443125/16777216 -837788924375/4194304 3715911330625/33554432
-60623574375/8388608 2510237396875/33554432 -724689931875/4194304 -61365159375/2097152
7768888846875/33554432 -3910470354375/16777216 -1160097128125/8388608 -6605527800625/33554432
4368887485625/33554432 5575563166875/33554432 4332296483125/33554432 593729573125/16777216
-1078639550625/16777216 -7341965791875/33554432 -909540864375/33554432 -128556065625/16777216
638134388125/4194304 -797016991875/33554432 1396525528125/8388608 319028149375/2097152
348309479375/2097152 -2286266783125/16777216 4237580741875/33554432 -3789941358125/16777216
1432826208125/16777216 -5245828973125/33554432 -6901084133125/33554432 -2806944066875/33554432
-5452157530625/33554432 329947580625/16777216 2192371601875/16777216 -5039159766875/33554432
3563253094375/33554432 -842409953125/4194304 326258066875/16777216 4610505518125/33554432
2531351785625/16777216 -2957348606875/16777216 -4774041439375/33554432 697624858125/8388608
1723665734375/33554432 -7497794484375/33554432 641635288125/16777216 -3371743659375/16777216
-896530626875/4194304 473398144375/4194304 -1019782375625/16777216 -1370155743125/16777216
2346161650625/33554432 -183078943125/8388608 1157778724375/8388608 959128990625/33554432
6055934974375/33554432 1552028700625/33554432 -7018416218125/33554432 2836279639375/16777216
-1188600066875/8388608 -6098414538125/33554432 5927226426875/33554432 8481535814375/33554432
-3093011991875/16777216 3870227115625/33554432 2337769224375/16777216 391482089375/2097152
2010005976875/16777216 -845275624375/8388608 2679544196875/33554432 -5843844345625/33554432
269224938125/2097152 1619884410625/16777216 -653053626875/8388608 1546251305625/8388608
2415142006875/16777216 2594723080625/16777216 -2982662450625/16777216 57912001875/1048576
1160849210625/8388608 -2972249190625/16777216 35889010625/2097152 657624524375/8388608
3873891620625/33554432 170483438125/2097152 -6456299354375/33554432 -2949976258125/16777216
-4013273281875/33554432 -1066069720625/16777216 -8472136164375/33554432 1888765848125/16777216
952837916875/33554432 -3960124341875/16777216 -3899848168125/33554432 -6045095265625/33554432
-5801334735625/33554432 -1727622625625/33554432 -3969744130625/16777216 2555754231875/33554432
4669891110625/33554432 574389863125/16777216 935054176875/4194304 -802717703125/4194304
636878750625/16777216 -1661399910625/16777216 2681572781875/16777216 3808049155625/33554432
1428944196875/33554432 -666369023125/33554432 3639581538125/16777216 -386672560625/16777216
754911356875/4194304 -359947745625/8388608 -3243892526875/16777216 -6749315145625/33554432
-1454729615625/16777216 15195951875/16777216 -3886696149375/16777216 7617330946875/33554432
3655707583125/16777216 -290436453125/16777216 1130688349375/33554432 257814578125/1048576
-5931054959375/33554432 1258363218125/16777216 -12569041875/4194304 -3078711130625/16777216
564618754375/33554432 3031336108125/33554432 876928999375/4194304 6368667995625/33554432
435353091875/2097152 1477627555625/8388608 4753023949375/33554432 -3586424359375/16777216
6085405535625/33554432 -1691291996875/8388608 2242798601875/33554432 -4182786749375/33554432
-95250959375/8388608 1985652475625/8388608 9302336875/262144 -4846699511875/33554432
2610135328125/16777216 -1824506750625/8388608 -4539818733125/33554432 -1861286643125/8388608
-3148812265625/33554432 2823029551875/33554432 1703017411875/16777216 237312846875/4194304
200256428125/4194304 -99129054375/2097152 -5307937415625/33554432 -2245231210625/33554432
-766008075625/4194304 3584146174375/16777216 3158101448125/16777216 -8039200576875/33554432
-1572638185625/8388608 4232851439375/16777216 73360194375/16777216 3204354456875/16777216
7620651049375/33554432 3210780568125/33554432 2189167654375/33554432 7298671371875/33554432
1574539370625/16777216 -3498698864375/16777216 3818133466875/16777216 1920075958125/16777216
