2400
-1206761799375/8388608 -896877151875/4194304 200911951875/8388608 145486074375/4194304
-484839365625/2097152 -664031656875/4194304 -1603514191875/8388608 258217539375/4194304
-175352960625/2097152 -202230178125/4194304 339659600625/4194304 140500228125/2097152
1726477003125/8388608 -352458594375/4194304 -328387989375/4194304 1016093975625/8388608
-145071920625/4194304 566364924375/4194304 -378734743125/4194304 -1209760093125/8388608
-250825036875/2097152 252571258125/4194304 223703184375/4194304 -1883051851875/8388608
-213189061875/2097152 1711376638125/8388608 1217018161875/8388608 -41026554375/8388608
368517545625/4194304 96384586875/1048576 -149738443125/2097152 -814001338125/4194304
690802933125/4194304 824653070625/4194304 640510404375/8388608 -1083273714375/8388608
7178964375/131072 -14929573125/131072 139258655625/1048576 -986580549375/8388608
259909306875/2097152 439460341875/4194304 -543677885625/4194304 34650635625/8388608
-708862936875/8388608 -116485010625/4194304 1625003304375/8388608 -77915473125/2097152
-175781004375/4194304 -2001653488125/8388608 708747796875/8388608 -110274864375/1048576
-68357000625/4194304 393416019375/2097152 -87086611875/4194304 598688720625/8388608
252370659375/4194304 754410174375/4194304 614668434375/4194304 288317990625/4194304
-97393681875/1048576 -1695209923125/8388608 -1583457961875/8388608 1799521636875/8388608
-413644764375/8388608 709682041875/4194304 103221035625/1048576 -785879233125/4194304
-1818659739375/8388608 188310875625/2097152 -225678853125/2097152 275016976875/4194304
-979399591875/8388608 500824985625/8388608 -245146404375/4194304 -305758134375/4194304
306032416875/4194304 397600006875/8388608 1205823133125/8388608 -207439490625/4194304
-1320087125625/8388608 -845455085625/4194304 341631616875/8388608 -635332756875/4194304
-619577300625/8388608 -136342719375/4194304 -871809781875/4194304 -9236469375/1048576
-1170725236875/8388608 -1841239951875/8388608 66224788125/8388608 1436596993125/8388608
-321770289375/8388608 -1006133416875/8388608 -1007583388125/8388608 1305802678125/8388608
1871005625625/8388608 350092010625/2097152 243280359375/2097152 -1220703001875/8388608
-4238446875/32768 1393149830625/8388608 -70650035625/524288 -1893000035625/8388608
556105786875/8388608 103654168125/1048576 -21329281875/8388608 -119126023125/2097152
-311525221875/4194304 -1446850479375/8388608 655564123125/4194304 1982953224375/8388608
488568470625/4194304 1353417748125/8388608 949618070625/4194304 953814249375/8388608
-48037561875/2097152 -1783138261875/8388608 371824003125/2097152 1574011875/1048576
719314003125/8388608 587240045625/4194304 1673894596875/8388608 -223895668125/1048576
-44093439375/2097152 495445633125/4194304 -1966662684375/8388608 -638363424375/8388608
-73372573125/2097152 -11912870625/262144 26999274375/524288 1386306523125/8388608
959857115625/8388608 -138508370625/2097152 19090700625/524288 -76217574375/524288
274857245625/8388608 311608160625/4194304 1985754343125/8388608 -473369510625/2097152
590557370625/4194304 115109169375/1048576 662188843125/4194304 -92994931875/8388608
696980473125/8388608 -230595286875/1048576 -4433679375/32768 -710623111875/8388608
47170243125/4194304 38265568125/2097152 -691829435625/8388608 -1901386475625/8388608
-82902350625/524288 583628859375/8388608 -300912399375/2097152 -569739680625/4194304
111004760625/1048576 240460666875/4194304 1091343838125/8388608 -876410788125/4194304
-661141494375/4194304 -745758624375/4194304 -1740243800625/8388608 1010826028125/8388608
-1233268888125/8388608 -1302263195625/8388608 767991084375/8388608 -1587984991875/8388608
328896204375/2097152 -108399766875/8388608 -427876719375/8388608 -1995119698125/8388608
-981500319375/8388608 1827556981875/8388608 -981953090625/4194304 66611844375/524288
29748751875/262144 -506685898125/8388608 1836224221875/8388608 -539233186875/8388608
207417414375/4194304 825482619375/4194304 1137860394375/8388608 125305580625/1048576
-220096325625/1048576 -530950044375/8388608 -622742600625/8388608 -841911594375/8388608
600627005625/4194304 -117848379375/8388608 -790584474375/4194304 -245172511875/2097152
-86888750625/1048576 -241260980625/8388608 73771715625/4194304 364377140625/2097152
822703125/524288 -453577723125/2097152 736324381875/4194304 -86594405625/2097152
373802896875/8388608 -1239571794375/8388608 335150281875/4194304 671969034375/8388608
-897285526875/4194304 -1711777794375/8388608 391123726875/2097152 -327867215625/4194304
361211094375/8388608 -1498568851875/8388608 -251354465625/8388608 664163814375/4194304
392119213125/2097152 -144017428125/1048576 139169304375/1048576 542067391875/4194304
-63418674375/524288 -312532929375/2097152 897287604375/4194304 1555700375625/8388608
-239848074375/4194304 121256686875/8388608 -1985568736875/8388608 -293789120625/4194304
-141776090625/4194304 -368734434375/4194304 -1069078625625/8388608 92419996875/2097152
227740723125/8388608 -1897836196875/8388608 24396714375/8388608 -168522928125/4194304
787409105625/4194304 938215925625/8388608 -22195183125/1048576 -955196746875/8388608
7067439375/262144 -255468526875/4194304 271913394375/2097152 848885578125/8388608
263424571875/8388608 89510746875/8388608 -234565786875/2097152 242260235625/2097152
746048803125/4194304 -924404386875/4194304 -1472633469375/8388608 -100421990625/2097152
-1889892796875/8388608 388140073125/2097152 154921445625/4194304 266336349375/4194304
6937858125/65536 -154828340625/4194304 328876149375/2097152 206899404375/2097152
1466116674375/8388608 1422442771875/8388608 -1400663143125/8388608 -1106472043125/8388608
-620447788125/8388608 447227840625/4194304 -940728853125/8388608 19821088125/4194304
702198418125/8388608 -161988215625/4194304 1755085224375/8388608 -426343764375/8388608
-409254658125/4194304 386427264375/8388608 -919886510625/4194304 -556646326875/8388608
114267706875/4194304 -978551855625/4194304 -273075470625/4194304 481561494375/8388608
195516328125/8388608 1606092965625/8388608 -676696771875/8388608 -448283514375/4194304
1808250995625/8388608 862135745625/8388608 188219735625/1048576 -1164974375625/8388608
216770818125/4194304 220484716875/4194304 175041095625/1048576 -1838748883125/8388608
-1604319095625/8388608 -633938285625/8388608 -1486837895625/8388608 147658520625/2097152
390401506875/8388608 -971539269375/8388608 603462748125/4194304 -404277868125/8388608
-193755170625/1048576 -862886203125/8388608 871643285625/4194304 288083480625/8388608
-24055618125/131072 737624173125/8388608 334558933125/8388608 -38421654375/524288
-22718836875/4194304 -157095804375/2097152 180066838125/1048576 -19375681875/524288
257977846875/8388608 1329575011875/8388608 1041248060625/8388608 1437770428125/8388608
601279336875/4194304 -1275680053125/8388608 -678146341875/8388608 882133021875/4194304
-1216282078125/8388608 169553248125/4194304 -1064868151875/8388608 1556586121875/8388608
-1476515308125/8388608 -92061616875/1048576 -855398825625/4194304 107425606875/2097152
746729529375/4194304 6637228125/131072 533873338125/8388608 -353456585625/2097152
66417249375/8388608 401010560625/4194304 191417675625/4194304 438149533125/2097152
133891618125/8388608 -54461581875/2097152 107409785625/8388608 1817936443125/8388608
-1425125968125/8388608 -1543363276875/8388608 -1305163824375/8388608 -2011682188125/8388608
1090142120625/8388608 1504965778125/8388608 -489181891875/4194304 547187701875/8388608
172740114375/1048576 -403242410625/8388608 -704988549375/8388608 -117063219375/2097152
-148363003125/1048576 558876009375/4194304 1837977103125/8388608 80753409375/8388608
711096466875/8388608 -194693506875/4194304 1074981219375/8388608 33206919375/2097152
897323600625/8388608 -108252069375/4194304 -284666585625/4194304 1337164411875/8388608
351469929375/2097152 57224709375/262144 -921073318125/8388608 -561537129375/4194304
85910930625/2097152 -1640348840625/8388608 -564186088125/4194304 13153108125/2097152
-687375515625/4194304 54387793125/4194304 1771719316875/8388608 -238907611875/2097152
-374480469375/4194304 379796251875/2097152 1522524901875/8388608 -198426616875/8388608
691949990625/8388608 -505888419375/4194304 -1547239993125/8388608 756245904375/4194304
1649889421875/8388608 390133674375/4194304 733186794375/8388608 -46086346875/1048576
483406430625/8388608 -454716496875/2097152 448803125625/2097152 -206451568125/8388608
752148204375/4194304 -778326729375/4194304 66653045625/524288 889735929375/4194304
-980648341875/8388608 -517292773125/8388608 -378048410625/8388608 581553920625/4194304
-240451314375/2097152 -58358551875/4194304 44582124375/4194304 -642617960625/4194304
898768085625/8388608 -329030458125/8388608 -170762638125/2097152 -644278228125/4194304
55106724375/8388608 656947558125/4194304 -1697973268125/8388608 993024410625/4194304
-507755064375/8388608 1634644299375/8388608 503236595625/8388608 1475897116875/8388608
-771022205625/4194304 -1313325031875/8388608 447386668125/2097152 182416168125/1048576
1348678805625/8388608 -1540024179375/8388608 -897827113125/8388608 182508661875/1048576
-24852223125/2097152 -24950131875/131072 696085096875/8388608 1408890181875/8388608
235890991875/1048576 -1777190116875/8388608 -719680381875/4194304 -964941320625/4194304
-787554354375/4194304 59807503125/1048576 512099499375/4194304 174057088125/2097152
-329882405625/2097152 -1309230500625/8388608 -146919594375/4194304 -94297449375/2097152
351179094375/2097152 -929276266875/8388608 33701375625/524288 -621530679375/4194304
690941353125/8388608 -301372591875/2097152 14738405625/2097152 246634021875/1048576
69959934375/1048576 1090911466875/8388608 1164693650625/8388608 -69063890625/8388608
769965478125/4194304 -1785647458125/8388608 107407981875/8388608 191394485625/8388608
-151766604375/4194304 -4238053125/1048576 -1217351488125/8388608 62261034375/8388608
813217670625/4194304 797152213125/4194304 466661420625/2097152 275073890625/4194304
1997287235625/8388608 773086835625/8388608 -278546041875/8388608 -299327548125/2097152
1110957684375/8388608 -1936861816875/8388608 416488760625/8388608 128712444375/1048576
-823604420625/4194304 321870084375/8388608 -9945643125/131072 -118692328125/2097152
-133579374375/2097152 -1649001935625/8388608 548850204375/8388608 -974491074375/8388608
-449057521875/2097152 -1714647620625/8388608 1633396756875/8388608 -266762870625/4194304
-802134039375/8388608 1016418166875/8388608 434228683125/4194304 862164406875/4194304
-807241850625/8388608 -1609594708125/8388608 598752976875/4194304 -431189536875/4194304
659404925625/4194304 -94846063125/2097152 -1634013639375/8388608 -69438031875/4194304
-972688276875/4194304 126191311875/4194304 30446735625/2097152 264797608125/8388608
-611661609375/4194304 -1604072296875/8388608 -502423190625/8388608 217848504375/1048576
-373112731875/2097152 852067689375/8388608 -763662414375/4194304 -555927526875/4194304
53907474375/262144 -1908098503125/8388608 -670379724375/4194304 -577625274375/4194304
-253005575625/8388608 -166918625625/4194304 779059374375/8388608 -453430138125/4194304
-1767744103125/8388608 -150372545625/4194304 -1108117468125/8388608 -150363819375/2097152
1489125406875/8388608 123683641875/4194304 1636817083125/8388608 -1914562580625/8388608
-874978456875/8388608 -1717712683125/8388608 85413313125/8388608 226255374375/1048576
-274398631875/4194304 -586410208125/8388608 -176834750625/4194304 1889659044375/8388608
1168657944375/8388608 -78297781875/1048576 -1272326233125/8388608 1401293780625/8388608
-875148751875/8388608 1034112669375/8388608 -161183908125/4194304 -439493788125/2097152
-251386516875/2097152 -539118628125/4194304 537435969375/4194304 1874626265625/8388608
-118582074375/4194304 517276580625/4194304 929790016875/4194304 1598074490625/8388608
-1042108125/32768 1295991324375/8388608 276760303125/2097152 1240625510625/8388608
-123995626875/1048576 -196359309375/8388608 -193888715625/1048576 456629210625/2097152
392384319375/8388608 -785705143125/8388608 -484465618125/8388608 -703828738125/4194304
164306413125/8388608 408689248125/2097152 384422863125/8388608 62066319375/8388608
-47977040625/8388608 -770157579375/8388608 -1228415625/32768 102305049375/8388608
1548259168125/8388608 -921676539375/4194304 1584880651875/8388608 2009477698125/8388608
417960781875/8388608 1776033463125/8388608 89852488125/524288 205988165625/1048576
147962263125/8388608 442011598125/8388608 875583009375/4194304 -24885481875/131072
1670545243125/8388608 357925573125/4194304 1641406205625/8388608 1020271254375/8388608
83340541875/1048576 -77504236875/4194304 553821245625/4194304 -18044244375/4194304
-97079566875/524288 367357633125/8388608 -823003970625/4194304 -235539624375/2097152
215009090625/4194304 132438046875/2097152 -110685560625/8388608 -326488006875/4194304
-1003066078125/8388608 -129491608125/4194304 2463069375/65536 -927373768125/4194304
23135146875/262144 296194093125/4194304 -1673444863125/8388608 -1409468083125/8388608
-32645934375/8388608 -262470928125/4194304 258516789375/4194304 108040239375/8388608
-167571811875/4194304 1114627948125/8388608 1906514465625/8388608 -16591666875/2097152
-985892795625/4194304 1443130940625/8388608 -1844883013125/8388608 -296254775625/8388608
-175686669375/2097152 -1567662151875/8388608 92749550625/2097152 -492833056875/2097152
-240129301875/4194304 159819823125/4194304 -947040988125/4194304 629100050625/8388608
-76961926875/524288 -33991273125/2097152 562073465625/8388608 -558597733125/4194304
-357971728125/2097152 161166639375/1048576 874906171875/8388608 -1637911059375/8388608
-814800984375/4194304 -44226721875/262144 -347389089375/8388608 658595701875/8388608
421962890625/8388608 475870100625/4194304 639860064375/8388608 -1774476230625/8388608
-25021089375/8388608 -611290033125/4194304 50705071875/262144 6120808125/65536
174113893125/4194304 564869746875/4194304 -29184121875/524288 367388225625/4194304
-7744944375/524288 569726356875/4194304 -1350153455625/8388608 1401780264375/8388608
-475656200625/8388608 525105084375/8388608 255993920625/4194304 -1541723405625/8388608
733254361875/4194304 130294659375/4194304 769590091875/4194304 -1496831060625/8388608
1375328638125/8388608 -1008894800625/8388608 279817239375/8388608 1133165791875/8388608
339306826875/8388608 -894452225625/4194304 -1748693383125/8388608 1069156981875/8388608
-877592184375/8388608 93405313125/524288 -476981518125/2097152 1732954348125/8388608
-1553420229375/8388608 425664665625/8388608 -863315131875/4194304 -719469106875/4194304
-1424030345625/8388608 652481060625/8388608 1695308911875/8388608 428867904375/8388608
53871504375/4194304 850815234375/4194304 248655793125/4194304 -1900311883125/8388608
1954238068125/8388608 -850782084375/4194304 901624610625/8388608 133371661875/2097152
1675649420625/8388608 -720278960625/4194304 464086445625/2097152 -144713394375/2097152
100132018125/524288 221386693125/8388608 -608153896875/8388608 511919923125/4194304
-7580379375/524288 313650159375/2097152 -204114196875/4194304 712294093125/8388608
357324144375/2097152 1917604231875/8388608 280493746875/8388608 729660538125/8388608
86495971875/4194304 1195365058125/8388608 -259933970625/2097152 -173148474375/1048576
593277061875/4194304 1361333964375/8388608 -306085854375/8388608 -248542955625/2097152
-95877065625/2097152 998215006875/4194304 -146131970625/4194304 -1726564704375/8388608
229529098125/4194304 554373939375/4194304 202925716875/4194304 -1719680503125/8388608
-422293734375/2097152 -713163316875/8388608 -150606639375/1048576 -1195875568125/8388608
-78697696875/2097152 -104031950625/2097152 484618865625/2097152 -274335575625/8388608
-653311186875/4194304 -410381319375/8388608 -755591728125/8388608 -17894356875/8388608
1855002215625/8388608 1420924764375/8388608 -126265783125/8388608 1153410440625/8388608
926858311875/4194304 -1612362313125/8388608 -1364423116875/8388608 -682529383125/8388608
628016454375/4194304 1322026955625/8388608 43453993125/262144 619602541875/8388608
-8154688125/262144 -128712403125/2097152 -453572814375/2097152 1627710796875/8388608
126378905625/1048576 671020520625/8388608 104782741875/8388608 -400205353125/4194304
347007223125/8388608 -835392819375/4194304 -5718875625/2097152 1060723760625/8388608
1178056921875/8388608 -174041068125/4194304 516816793125/4194304 -102702740625/524288
-44003780625/2097152 -6505393125/4194304 182148988125/8388608 -684557248125/4194304
-230636758125/4194304 -173217860625/4194304 132320949375/4194304 -414908881875/2097152
594381421875/8388608 -706332136875/8388608 -95736448125/524288 1631613024375/8388608
39984943125/524288 -945874209375/4194304 383363904375/4194304 1155804639375/8388608
1705571821875/8388608 248767944375/8388608 826062260625/8388608 -449355980625/4194304
-1105914050625/8388608 469792629375/2097152 570544456875/4194304 193832428125/1048576
405261328125/2097152 -531788540625/8388608 758125689375/8388608 -1466207784375/8388608
1434771849375/8388608 -509650921875/4194304 -5936776875/2097152 41998880625/1048576
-482771139375/8388608 318671555625/2097152 -1334706031875/8388608 -231319336875/4194304
-290358106875/2097152 235210888125/8388608 1531107429375/8388608 791144124375/8388608
-1115138679375/8388608 503625058125/4194304 -1773437405625/8388608 1989344139375/8388608
392241200625/2097152 361062913125/2097152 399378789375/2097152 12553123125/4194304
-73530620625/1048576 -867936864375/8388608 -109497436875/4194304 -1029216545625/8388608
-743176111875/8388608 -1188245101875/8388608 -1856284224375/8388608 -1583252795625/8388608
-1943596400625/8388608 -1498472934375/8388608 -73960243125/2097152 461136050625/8388608
247671414375/8388608 -978581548125/8388608 -1466616436875/8388608 -1623375230625/8388608
1355406035625/8388608 456926765625/8388608 92271646875/2097152 969246444375/4194304
-1974468324375/8388608 -41226125625/8388608 75690691875/8388608 -210992026875/1048576
-549372751875/4194304 671824756875/4194304 536603086875/4194304 -294725176875/2097152
1427012041875/8388608 1392386979375/8388608 -178550214375/8388608 -21148475625/2097152
-160917740625/1048576 528004738125/8388608 1433433133125/8388608 -664097983125/4194304
109711479375/4194304 954484160625/8388608 84811726875/4194304 -1207368710625/8388608
-315939673125/8388608 434563261875/8388608 -116636896875/2097152 156777631875/8388608
-914275070625/8388608 656558780625/4194304 -15147013125/131072 1397854805625/8388608
-1620794304375/8388608 357730306875/8388608 -315397464375/2097152 -261702508125/2097152
136356234375/8388608 -739853750625/8388608 821365850625/8388608 690148310625/8388608
157174790625/8388608 -642664768125/4194304 -181186903125/4194304 312318613125/4194304
-1097665809375/8388608 626742684375/8388608 -154692099375/8388608 1963252603125/8388608
32522743125/262144 -384398604375/2097152 -57205183125/524288 -39030459375/524288
836046320625/8388608 -95550448125/8388608 -1833114609375/8388608 950948683125/8388608
-1870448390625/8388608 -12030395625/131072 -34168595625/1048576 -395312240625/4194304
-1876199210625/8388608 114687440625/524288 -697991840625/8388608 208438415625/2097152
-52053643125/2097152 -945906418125/8388608 -1270186595625/8388608 -1660651224375/8388608
347737096875/2097152 -449947141875/4194304 204632233125/1048576 727021786875/8388608
-1835827351875/8388608 811071819375/4194304 -79217165625/524288 9225785625/524288
-802925019375/8388608 -1346828034375/8388608 -48720571875/4194304 501016528125/2097152
-631011166875/8388608 441362191875/4194304 176152044375/1048576 893823275625/8388608
953821708125/8388608 -14988586875/1048576 -19069119375/1048576 1278991749375/8388608
-1545018099375/8388608 -758827066875/4194304 131465214375/2097152 233109541875/4194304
327711421875/2097152 -1000738125/32768 257095411875/8388608 63362840625/524288
-1362938218125/8388608 401396023125/8388608 587123686875/4194304 -12922025625/2097152
-994824849375/4194304 -624005705625/4194304 -1694607039375/8388608 902254235625/4194304
627600073125/8388608 1388713490625/8388608 -1860130235625/8388608 -56039368125/4194304
275957574375/4194304 828559498125/8388608 -230278044375/1048576 -596896141875/4194304
-1202988361875/8388608 2010377484375/8388608 1926180999375/8388608 -45821131875/1048576
644397560625/8388608 335731535625/8388608 -315482094375/2097152 -1070627090625/8388608
1016099589375/8388608 646213936875/4194304 -894771699375/4194304 -314568043125/8388608
-102239045625/2097152 -1262640069375/8388608 -625100360625/4194304 -286856619375/4194304
-851733849375/4194304 -123167386875/524288 76857560625/8388608 -1683819099375/8388608
-207464319375/8388608 959300510625/8388608 15969639375/131072 -16412660625/4194304
-1072658353125/8388608 -952028101875/8388608 -249496460625/8388608 -196640563125/8388608
-1679594848125/8388608 -1025092603125/8388608 797405338125/4194304 623543630625/4194304
1048521298125/8388608 -967758215625/8388608 -96949798125/8388608 -5547601875/262144
-902995625625/4194304 426742655625/2097152 421138775625/8388608 1887086285625/8388608
719447964375/4194304 97085581875/4194304 -718128815625/8388608 -1975879438125/8388608
153366005625/8388608 -306846121875/8388608 -846257795625/8388608 424519775625/2097152
1228260256875/8388608 -1417785253125/8388608 52572256875/8388608 -606085648125/8388608
1424228874375/8388608 1758664944375/8388608 -221743614375/2097152 -1795234130625/8388608
-1532250440625/8388608 -456970314375/8388608 1600503954375/8388608 449432896875/4194304
-422223290625/4194304 1018065174375/8388608 1410567234375/8388608 462547685625/8388608
-157985908125/2097152 -719245873125/4194304 581153015625/8388608 -754087929375/4194304
100469184375/8388608 287581906875/2097152 514823491875/4194304 -31143050625/1048576
559874559375/8388608 -278352815625/2097152 -230448898125/2097152 490291160625/8388608
147136546875/2097152 -348520629375/2097152 1856320974375/8388608 -194588638125/8388608
-873697096875/4194304 321104791875/4194304 -283534216875/2097152 119666608125/4194304
644296453125/4194304 671815006875/8388608 964611256875/8388608 -787429689375/8388608
1841942311875/8388608 769927850625/4194304 -169312228125/4194304 -664768475625/4194304
623640658125/4194304 -1387503654375/8388608 121088585625/4194304 48852380625/8388608
-406083609375/8388608 -280581208125/8388608 809750319375/8388608 -137548456875/1048576
765159410625/4194304 1032227401875/8388608 -1160398321875/8388608 5566464375/131072
-694827635625/8388608 787963126875/8388608 627689300625/8388608 25022559375/4194304
-24456785625/262144 -239603431875/1048576 -165565753125/4194304 -1226207120625/8388608
428646924375/2097152 1447697938125/8388608 -2000009844375/8388608 369985280625/8388608
1366830650625/8388608 -225240545625/4194304 -807188413125/4194304 -31039880625/2097152
-724627565625/4194304 244915374375/4194304 -955623830625/8388608 308920396875/4194304
-38200190625/2097152 -474606208125/4194304 -808613551875/8388608 1315511769375/8388608
-877079180625/8388608 618409460625/4194304 -929192199375/8388608 -1038783556875/8388608
374401730625/4194304 -454416620625/4194304 -360312553125/2097152 -85145578125/4194304
32622579375/8388608 -508951153125/4194304 250227129375/2097152 771274816875/8388608
-1916588746875/8388608 1674645545625/8388608 92628729375/2097152 -1339616233125/8388608
757089924375/8388608 244615250625/4194304 -327905653125/8388608 -596914801875/4194304
-1797845206875/8388608 -680379699375/4194304 204088914375/1048576 -1897830170625/8388608
664163994375/8388608 -1182146953125/8388608 -7574304375/2097152 25305316875/1048576
-396391089375/2097152 903465890625/8388608 388387224375/8388608 29074929375/131072
-36766366875/4194304 -706694431875/4194304 51705680625/4194304 1493231465625/8388608
1681996168125/8388608 -818524333125/8388608 -1332023165625/8388608 -1778266224375/8388608
436245669375/4194304 11450649375/8388608 696578263125/8388608 847697638125/8388608
259719980625/4194304 53239505625/524288 -713405761875/8388608 174451115625/1048576
452097781875/2097152 1929950623125/8388608 229662215625/8388608 377610020625/8388608
484994690625/2097152 745914526875/4194304 -67317808125/1048576 471896150625/4194304
-527402469375/8388608 200325931875/4194304 -361021171875/4194304 -1489223443125/8388608
-1715531491875/8388608 -26986333125/8388608 -1903175480625/8388608 522970745625/8388608
1410544501875/8388608 -281140715625/8388608 -443103226875/4194304 -953577031875/8388608
1418576424375/8388608 375840534375/2097152 -985733668125/4194304 -312475591875/8388608
-983932168125/4194304 -1893116368125/8388608 1431288196875/8388608 633744526875/8388608
1288878804375/8388608 -38546649375/8388608 256652926875/8388608 33583730625/8388608
162110086875/1048576 668816270625/4194304 111094674375/8388608 -1417693629375/8388608
770899025625/4194304 -966230870625/4194304 808673473125/4194304 32901084375/1048576
-227317468125/8388608 563283440625/4194304 58919401875/262144 636347120625/8388608
-112232731875/4194304 181647804375/8388608 622771666875/8388608 -40621569375/8388608
472538716875/4194304 542648941875/8388608 349404871875/4194304 220967690625/4194304
137544703125/1048576 -804752818125/8388608 -1871358969375/8388608 -438371915625/8388608
-1812603673125/8388608 780992589375/4194304 -591925198125/8388608 -47424268125/262144
-1373628853125/8388608 1942569624375/8388608 -1566638836875/8388608 280171891875/8388608
329163819375/8388608 626423874375/4194304 -604288363125/8388608 -1997224820625/8388608
248147371875/4194304 1121733785625/8388608 -443371693125/4194304 -71379721875/1048576
320692775625/2097152 203839936875/2097152 1281722263125/8388608 -113398726875/524288
981678298125/4194304 -121084141875/4194304 135686885625/4194304 -337786205625/4194304
-914410591875/4194304 -1649686599375/8388608 -554120176875/8388608 1627067881875/8388608
-1510360321875/8388608 -1375023909375/8388608 1053973003125/8388608 -1113886434375/8388608
1048748634375/8388608 -194390908125/1048576 851951203125/4194304 -539472905625/4194304
-382251448125/4194304 -325044504375/8388608 -642511899375/4194304 -976301953125/4194304
486389045625/2097152 1113858586875/8388608 247158388125/4194304 455995078125/8388608
399765590625/2097152 1594579029375/8388608 -594468594375/4194304 844878856875/8388608
-118320973125/4194304 1779726898125/8388608 6567335625/65536 486569604375/8388608
-1964092186875/8388608 -1644103970625/8388608 665145725625/8388608 1942180921875/8388608
-1316298403125/8388608 -273531234375/8388608 464545921875/2097152 350178748125/8388608
197545205625/4194304 1719397880625/8388608 113222814375/524288 -664714828125/8388608
-2002170301875/8388608 396380765625/8388608 115899238125/4194304 416622939375/2097152
505507310625/8388608 997732460625/4194304 978835674375/8388608 -54189778125/1048576
-996487153125/8388608 321808944375/8388608 -1559625084375/8388608 942512356875/8388608
-574045441875/8388608 1682778568125/8388608 491495896875/4194304 -531101563125/8388608
317129086875/4194304 -1030051471875/8388608 1682025999375/8388608 879529396875/4194304
-91875/524288 25385548125/4194304 -425809126875/4194304 1676929509375/8388608
-455461730625/4194304 1779648898125/8388608 -594754063125/4194304 -34671586875/1048576
-1116015733125/8388608 970802848125/4194304 -319523424375/4194304 -108296690625/8388608
721499941875/8388608 -1848480594375/8388608 1240466795625/8388608 -289035583125/8388608
-1248478835625/8388608 1891777580625/8388608 170765420625/1048576 -1833401660625/8388608
-1016275798125/8388608 265486835625/4194304 114623589375/524288 -718671091875/8388608
46207201875/524288 424554328125/8388608 -257580515625/2097152 762528999375/8388608
1382021735625/8388608 1269709584375/8388608 383839651875/2097152 465030080625/2097152
1303633681875/8388608 3998881875/4194304 -2555086875/1048576 -1512073580625/8388608
341253583125/2097152 -832040923125/8388608 758433103125/8388608 -322966516875/8388608
770014486875/4194304 376778600625/4194304 -1080252305625/8388608 -523808285625/8388608
264866045625/8388608 273763288125/4194304 186858579375/4194304 954958685625/8388608
-1083617803125/8388608 -1000986493125/4194304 -1223119096875/8388608 -1297216756875/8388608
136829683125/8388608 -58635350625/8388608 -42683889375/2097152 184821061875/8388608
664527448125/4194304 932784459375/8388608 -423693481875/8388608 1445313601875/8388608
-1551782638125/8388608 24088704375/2097152 1671716195625/8388608 751972108125/8388608
1978822794375/8388608 -153429594375/1048576 941461633125/8388608 -1763345761875/8388608
127137849375/4194304 1088548059375/8388608 -1036777516875/8388608 80150000625/8388608
521255083125/4194304 798527735625/4194304 455449393125/2097152 -371139440625/8388608
773662768125/8388608 380972056875/2097152 -902288491875/8388608 624680353125/8388608
-722937928125/8388608 604762325625/8388608 -939153815625/8388608 -937505596875/4194304
-1531358934375/8388608 -1810446035625/8388608 58253825625/4194304 786901456875/8388608
166263643125/2097152 -281531859375/8388608 749329040625/4194304 -264919621875/8388608
-461150233125/8388608 -840019509375/8388608 -1230999733125/8388608 -1588272973125/8388608
269546979375/2097152 -106143106875/524288 -257335093125/4194304 43215035625/1048576
-343576265625/8388608 639084470625/4194304 777598771875/4194304 -711742558125/4194304
-1782211213125/8388608 178795415625/4194304 1910385140625/8388608 -430261498125/2097152
-357347139375/8388608 -638571781875/8388608 695189469375/8388608 145515538125/1048576
-1699324359375/8388608 994664319375/4194304 -92480454375/2097152 1516814949375/8388608
-642557904375/8388608 -35185670625/262144 74933615625/2097152 984781576875/4194304
215187669375/1048576 -952861850625/4194304 -11793575625/8388608 -457820698125/8388608
-279225181875/2097152 1197493276875/8388608 1921156021875/8388608 1537608106875/8388608
-324480354375/2097152 76577866875/8388608 1917503998125/8388608 8542749375/262144
-69808134375/2097152 -378501429375/4194304 -2006385091875/8388608 263599153125/2097152
1823546803125/8388608 -144482746875/8388608 960828571875/8388608 920397939375/4194304
-563314314375/8388608 38437681875/8388608 -262696816875/2097152 -772041185625/4194304
-391109724375/2097152 -1142270709375/8388608 -267338278125/2097152 639934235625/8388608
193658634375/1048576 106066985625/2097152 -71448144375/524288 -611184103125/8388608
1584778044375/8388608 590351086875/4194304 -389148778125/2097152 -642135958125/4194304
194883283125/1048576 -1106208759375/8388608 87895531875/4194304 -1017353240625/8388608
302292294375/2097152 -111226475625/524288 -185620978125/8388608 -122795570625/4194304
-745456674375/4194304 -524470130625/4194304 1107813530625/8388608 -12656765625/524288
-923262965625/4194304 -1074791559375/8388608 -11638145625/524288 81032225625/524288
-178466596875/2097152 904087138125/8388608 -881335269375/4194304 531678418125/8388608
866870413125/8388608 -57191806875/8388608 -246682348125/2097152 -154502803125/1048576
-1220049350625/8388608 900156380625/8388608 48353600625/8388608 895565679375/4194304
-537871985625/8388608 -746725565625/8388608 -383717746875/8388608 55566635625/2097152
68014438125/1048576 -1522724139375/8388608 193807089375/8388608 557241335625/8388608
839435113125/4194304 18376678125/262144 -774576549375/4194304 -1155309898125/8388608
