800
-331668034375/8388608 -152835866875/4194304 -40024068125/524288 125153764375/4194304
-3125013125/1048576 -426266816875/8388608 -211488589375/4194304 404763843125/8388608
-24581141875/1048576 -97836803125/2097152 211978413125/4194304 250889146875/4194304
5610696875/8388608 -522659961875/8388608 223318161875/8388608 593883640625/8388608
121807164375/2097152 470445741875/8388608 -67493931875/1048576 -214533183125/8388608
190950519375/8388608 -383556260625/8388608 -60196651875/1048576 -7393060625/4194304
292172254375/4194304 257194438125/8388608 259126130625/4194304 -539874233125/8388608
520824086875/8388608 556749203125/8388608 -341338091875/8388608 -194945440625/4194304
618534591875/8388608 203156446875/4194304 -496105334375/8388608 92380684375/2097152
47994040625/8388608 -10763390625/2097152 662910744375/8388608 -338166868125/8388608
-458824463125/8388608 323419571875/4194304 297191078125/4194304 -631184564375/8388608
312365808125/8388608 -324175754375/4194304 171123974375/4194304 -200895796875/8388608
262780381875/8388608 134653411875/4194304 1785663125/131072 240763416875/4194304
59156745625/1048576 -187033963125/4194304 -3160496875/524288 -37068374375/2097152
665927109375/8388608 732898125/131072 259398544375/8388608 -141277898125/2097152
-201259311875/4194304 56755706875/8388608 492926829375/8388608 17837251875/8388608
500670866875/8388608 -23682666875/8388608 -48431875/1048576 -193207713125/8388608
-131992990625/8388608 9162700625/1048576 -624447070625/8388608 511794923125/8388608
191546788125/8388608 -505068043125/8388608 -16417696875/262144 -32521273125/4194304
-588881576875/8388608 168603124375/8388608 -103147670625/2097152 643729649375/8388608
-266332216875/4194304 190528300625/4194304 3795865625/4194304 -199830225625/4194304
-100058428125/4194304 55836931875/2097152 77132935625/2097152 -24562376875/1048576
202169778125/4194304 44267375625/8388608 268863018125/4194304 -76050348125/2097152
-257310903125/8388608 -50438328125/1048576 -70202754375/1048576 -367001630625/8388608
58810423125/4194304 279730993125/4194304 133277070625/2097152 -312012665625/8388608
1596228125/1048576 -27152835625/524288 262958285625/4194304 59917475625/4194304
146472843125/8388608 257232756875/8388608 11689345625/4194304 184384595625/4194304
474966015625/8388608 92769736875/8388608 -186545471875/8388608 445028919375/8388608
116870579375/2097152 302107436875/8388608 -555309663125/8388608 398670598125/8388608
-18653785625/1048576 -190439609375/8388608 131655709375/8388608 -203866379375/4194304
-6230748125/4194304 -553909805625/8388608 79614129375/4194304 461495948125/8388608
543703626875/8388608 -5340179375/131072 198251383125/4194304 -55497321875/8388608
233000098125/4194304 -312880165625/4194304 -51742056875/8388608 223856705625/8388608
-81576445625/8388608 -188731259375/8388608 42857621875/2097152 45770124375/2097152
-33279801875/4194304 -123666964375/8388608 -443688506875/8388608 -99033036875/4194304
-66335161875/2097152 -105231976875/2097152 43358615625/8388608 -272941249375/4194304
-613228623125/8388608 123312378125/2097152 84157946875/4194304 542138986875/8388608
303857869375/8388608 666798036875/8388608 102722569375/2097152 496027645625/8388608
-280138845625/8388608 449211793125/8388608 -392633686875/8388608 -325141974375/8388608
-164821844375/2097152 -657660641875/8388608 -128980064375/2097152 -145007373125/8388608
2020419375/524288 6440971875/4194304 12304969375/262144 98466319375/4194304
117759300625/2097152 175731080625/4194304 -499067125625/8388608 -138574783125/8388608
151114920625/2097152 245810849375/4194304 291519259375/8388608 286487608125/4194304
-5782069375/4194304 149013539375/2097152 -299945724375/4194304 -227120661875/8388608
-28773873125/2097152 -151264955625/8388608 18272496875/8388608 -380876303125/8388608
136201655625/8388608 -235443049375/8388608 57224966875/4194304 -256225420625/8388608
61023523125/8388608 6192044375/524288 34348774375/2097152 354468459375/8388608
-113158251875/8388608 -130993358125/8388608 164571215625/8388608 -511972551875/8388608
-85688965625/2097152 -68135986875/2097152 49620774375/8388608 103818430625/8388608
-498519684375/8388608 -108649923125/2097152 -266543011875/8388608 537124999375/8388608
50317073125/1048576 -169636119375/8388608 -398248250625/8388608 -76120629375/4194304
-47111989375/2097152 -210732274375/4194304 425977519375/8388608 -98448389375/8388608
498220643125/8388608 -375114464375/8388608 -109567840625/4194304 38336689375/8388608
412557831875/8388608 -403230154375/8388608 182438921875/8388608 -225509310625/8388608
-377198251875/8388608 -6666629375/262144 253297324375/4194304 183895291875/8388608
127436760625/8388608 21260296875/8388608 -150618999375/4194304 -369123495625/8388608
385658173125/8388608 32931293125/8388608 -429631344375/8388608 213608038125/4194304
517976074375/8388608 660649898125/8388608 78783061875/8388608 32704179375/2097152
274705864375/8388608 -163070640625/8388608 5837706875/524288 324189954375/4194304
61777844375/1048576 -9948799375/8388608 595407995625/8388608 327168879375/8388608
-146833221875/4194304 -19495480625/524288 -5699091875/8388608 -150346013125/8388608
