3000
-100317421875/8388608 1808753878125/8388608 -520216921875/4194304 -7481199309375/33554432
864537853125/16777216 -6165467671875/33554432 3504819553125/16777216 9624586996875/33554432
371263640625/16777216 375588778125/8388608 -830902603125/16777216 -843958059375/4194304
-8997977878125/33554432 -4874749734375/33554432 -8150825915625/33554432 -3810202696875/16777216
-45739846875/33554432 1062639271875/33554432 67326628125/16777216 -4333699509375/16777216
-7852455628125/33554432 1775972278125/33554432 480622228125/4194304 452281884375/16777216
3126981028125/16777216 -9677404490625/33554432 -3986210278125/33554432 -836128828125/33554432
-963144646875/33554432 -10007171578125/33554432 -2318122978125/16777216 -1237188815625/33554432
1633768171875/16777216 -5147399953125/33554432 -16389328125/16777216 1637707921875/16777216
1161819759375/16777216 -2164507321875/8388608 -1690980271875/16777216 3647522821875/16777216
-3206084503125/16777216 -4714344890625/33554432 1856743059375/33554432 -8560265625/32768
-9358949821875/33554432 -2248696096875/16777216 8948883834375/33554432 3058503440625/16777216
6839957896875/33554432 4307700065625/33554432 3017980809375/33554432 6881917265625/33554432
2302844371875/8388608 690537421875/33554432 9970360790625/33554432 -642966121875/33554432
138127284375/16777216 583320721875/8388608 2010888628125/8388608 -5554376128125/33554432
-3703656290625/16777216 -3743115815625/16777216 -2660744521875/16777216 252954271875/8388608
2812114565625/16777216 1870199184375/16777216 303695465625/1048576 -280876865625/8388608
2761851328125/33554432 2319912515625/8388608 3416737040625/16777216 4315788796875/16777216
-10416815625/4194304 2033630540625/8388608 1029940753125/8388608 -1008193321875/4194304
-3281229328125/33554432 -163314909375/8388608 -207142584375/16777216 4341584053125/16777216
7952380153125/33554432 46556428125/33554432 -1422920671875/33554432 3751069059375/33554432
-4716318684375/16777216 -1562441334375/8388608 2341295821875/33554432 -7993103915625/33554432
1018560215625/33554432 -4821868940625/16777216 -2225100459375/8388608 -149189090625/33554432
6285655565625/33554432 -10032817265625/33554432 -3184238053125/16777216 436895259375/33554432
2349595846875/16777216 3061463821875/16777216 4473550884375/16777216 -210035146875/33554432
-3185381390625/16777216 5791279790625/33554432 -256999584375/33554432 1049563284375/33554432
-1759545009375/16777216 -3466113759375/33554432 4802178778125/16777216 -6434268028125/33554432
1354291378125/33554432 99077971875/2097152 -1869841228125/33554432 6411357759375/33554432
1557705496875/8388608 -6467172721875/33554432 597061490625/8388608 3126346546875/16777216
-361563965625/33554432 3903462534375/33554432 1534281271875/8388608 -5642241853125/33554432
1033867059375/33554432 3305140378125/16777216 -1852316634375/16777216 -8600399090625/33554432
-5682018609375/33554432 961202990625/33554432 7815185596875/33554432 4848971259375/33554432
6160310278125/33554432 -1695548071875/8388608 1211627709375/33554432 592686534375/4194304
1437918834375/33554432 -4403685571875/33554432 133016653125/16777216 836799928125/4194304
-938692190625/8388608 -2398586728125/16777216 2687825278125/16777216 -1879525528125/16777216
-7587484340625/33554432 645994396875/16777216 -2498927146875/33554432 2696879784375/16777216
-9098679103125/33554432 1264501921875/16777216 -4037602228125/16777216 3292827909375/33554432
269414371875/4194304 6493180903125/33554432 -1794283434375/33554432 -963337753125/8388608
-1472743884375/8388608 -4215589790625/33554432 -1919506996875/33554432 -952093771875/4194304
3916286484375/33554432 533731903125/33554432 237848296875/4194304 8342087971875/33554432
2528049928125/16777216 1055244553125/8388608 -2498903146875/33554432 8412507965625/33554432
-300816890625/16777216 3114496621875/33554432 1406740359375/33554432 -7292971021875/33554432
9492248015625/33554432 5644631390625/33554432 -9978272615625/33554432 -161397515625/16777216
-4839996646875/16777216 2031148115625/33554432 6521592815625/33554432 9586911796875/33554432
-2287870396875/16777216 -4391690240625/33554432 6584181421875/33554432 -746057503125/16777216
5213523065625/33554432 -5610216046875/33554432 -1320887503125/33554432 1307443546875/33554432
-1929568865625/33554432 7894118859375/33554432 -51481228125/8388608 1175344284375/33554432
4741682690625/33554432 -3223235221875/16777216 2091222478125/8388608 3198736903125/16777216
2233928709375/8388608 -1049907403125/8388608 1710146465625/16777216 985260759375/33554432
-5205101334375/33554432 -5762565440625/33554432 -5050845215625/33554432 6229644871875/33554432
-2951801371875/16777216 -1316574721875/33554432 -37046071875/33554432 4801199728125/33554432
-2173655315625/16777216 4375808540625/33554432 -1817225109375/33554432 -2339001646875/16777216
-357703265625/33554432 4108357171875/33554432 -218555090625/16777216 566179996875/16777216
9210438665625/33554432 3340287815625/16777216 -5803829315625/33554432 6597994059375/33554432
-4316749453125/33554432 4738632328125/33554432 -1532313009375/33554432 356844478125/16777216
-5634476053125/33554432 -4379109478125/33554432 9937060434375/33554432 5719234209375/33554432
9384893446875/33554432 6442065928125/33554432 -22169934375/33554432 -462964528125/33554432
-2314307653125/16777216 -3385112653125/33554432 6503831484375/33554432 632343009375/8388608
-534451828125/33554432 -4221750346875/33554432 2445113953125/33554432 787563928125/8388608
-6560341584375/33554432 9395224921875/33554432 1033232034375/33554432 1444784296875/8388608
-3147500446875/33554432 4140837028125/16777216 2452478709375/16777216 9394582996875/33554432
3495880846875/16777216 -7637829421875/33554432 -9210380653125/33554432 -1583293284375/8388608
-2199265640625/8388608 4635421040625/33554432 8941199596875/33554432 2098994953125/16777216
-2474442965625/16777216 337051678125/8388608 -1286978371875/8388608 2769473146875/16777216
8772536409375/33554432 -3633386484375/33554432 -3943702115625/33554432 -664237640625/4194304
5675083734375/33554432 -4412747128125/33554432 5282084746875/33554432 -4604631271875/16777216
-1066147565625/33554432 -4157415628125/33554432 1790428846875/16777216 3831448396875/33554432
-6635543690625/33554432 3362232759375/16777216 -1931291240625/8388608 -2077966584375/33554432
1670070984375/8388608 116695678125/8388608 2492167228125/8388608 3606532471875/16777216
5918630878125/33554432 -6612076771875/33554432 130878028125/16777216 167618203125/1048576
-2492933521875/8388608 -979301540625/4194304 -1546066359375/33554432 1950319771875/16777216
-2054511740625/8388608 2402598159375/33554432 -1152465103125/16777216 7460465484375/33554432
8894998509375/33554432 -3519972309375/33554432 639496584375/16777216 -5460529528125/33554432
3569803734375/33554432 -5454788465625/33554432 8459055515625/33554432 -215363971875/4194304
2579923040625/33554432 -2144176978125/16777216 2999474821875/16777216 3652586184375/16777216
-6220249734375/33554432 -8587635178125/33554432 680677584375/16777216 3922367371875/16777216
-341930334375/2097152 -1017463434375/8388608 299364253125/33554432 -103324003125/4194304
3187273303125/16777216 7886410340625/33554432 4757528071875/16777216 2853232265625/16777216
-1727295984375/33554432 -1023519459375/4194304 -6019005703125/33554432 -39918421875/33554432
4643499196875/16777216 -2750889290625/16777216 1929557690625/33554432 5023184203125/33554432
2659795246875/16777216 -4323368896875/16777216 -1678453096875/16777216 -2638089984375/33554432
3747481996875/33554432 -2152514540625/16777216 -1561336678125/16777216 -912171796875/8388608
539999709375/33554432 3341955890625/33554432 180163509375/33554432 -2069970121875/8388608
3407946121875/33554432 -1503118040625/33554432 1933287328125/8388608 -5157235678125/33554432
-1423918565625/8388608 -4736441203125/16777216 4330460953125/33554432 7276698178125/33554432
4199945709375/33554432 522922453125/33554432 363393909375/8388608 -5949739546875/33554432
619625840625/33554432 29675446875/2097152 973295240625/8388608 3559062796875/16777216
1053098671875/8388608 5757378778125/33554432 171852796875/8388608 -2718829546875/16777216
140548115625/2097152 2577882478125/33554432 646119590625/8388608 -7165922896875/33554432
3600902821875/33554432 5872183153125/33554432 251572659375/33554432 5888793515625/33554432
-8510491453125/33554432 -269067309375/1048576 -3365431790625/16777216 8158171546875/33554432
-7792760296875/33554432 3446309503125/33554432 -3263216596875/33554432 -4917423309375/16777216
-1257560503125/8388608 7264041009375/33554432 5246221340625/33554432 7489358315625/33554432
-7981450059375/33554432 -2646711140625/33554432 9524191734375/33554432 -500305509375/33554432
-6933096328125/33554432 -6983578490625/33554432 -2113543753125/33554432 -4323486403125/33554432
-9687535509375/33554432 5333330690625/33554432 1824123234375/33554432 -6616442859375/33554432
8580655490625/33554432 2829124546875/33554432 -986288709375/33554432 -3602324653125/16777216
-5036220909375/33554432 -3885034828125/16777216 -3141129065625/33554432 4247172534375/33554432
3638731434375/33554432 1901917846875/16777216 -2753955253125/16777216 3429590990625/33554432
-215579859375/16777216 -5259260953125/33554432 2269136353125/16777216 963353053125/33554432
100393265625/4194304 65843971875/262144 2369289046875/16777216 -5308393734375/33554432
-129750403125/2097152 -10013886984375/33554432 -4276578346875/33554432 413234090625/33554432
-1351260703125/33554432 1083379771875/8388608 160959365625/4194304 -577984959375/8388608
1008172246875/33554432 -407404584375/4194304 -934305984375/4194304 -145715709375/524288
-701717371875/8388608 66291778125/16777216 3836764846875/16777216 2123455978125/8388608
2177498990625/16777216 -9173506828125/33554432 2020870134375/16777216 1111042490625/8388608
2741324465625/16777216 545975015625/8388608 8077003621875/33554432 -3875607890625/33554432
-854516446875/4194304 -4264656965625/16777216 2069923134375/8388608 -6989523346875/33554432
9540821896875/33554432 5604460884375/33554432 9653627821875/33554432 6441210065625/33554432
-50908040625/524288 1874768765625/33554432 -9809220046875/33554432 6175617159375/33554432
1733019384375/33554432 -4745104246875/33554432 5909552146875/33554432 -6732462609375/33554432
3859032103125/33554432 -6038530171875/33554432 2339823834375/33554432 -7063738190625/33554432
218474803125/1048576 7207159059375/33554432 -10013733103125/33554432 3786443559375/33554432
-437732746875/16777216 -39559790625/1048576 -1880968978125/8388608 -8770619653125/33554432
-4470305596875/16777216 -443584284375/8388608 4989882028125/16777216 -533532459375/16777216
556362853125/8388608 5440157090625/33554432 1187984915625/33554432 -1886464621875/16777216
8659387621875/33554432 574440440625/8388608 -940098515625/33554432 -4458544828125/33554432
1326589528125/8388608 2021213878125/16777216 856067746875/8388608 231204234375/8388608
694309940625/33554432 -1130970421875/8388608 7028605209375/33554432 162963871875/33554432
1034625328125/8388608 -3126567853125/16777216 -43323703125/1048576 -6659884884375/33554432
-5304596896875/33554432 3932861353125/16777216 896044865625/33554432 1384872103125/33554432
-9261488390625/33554432 -8657759821875/33554432 -1434695803125/33554432 -1886157084375/16777216
983251359375/33554432 24694378125/8388608 6420139378125/33554432 -820670559375/8388608
371198465625/8388608 7777384884375/33554432 1869878221875/16777216 -8184101803125/33554432
-1852564659375/33554432 2464040953125/8388608 9447262715625/33554432 -742222059375/33554432
-795171065625/8388608 5614991596875/33554432 655558696875/16777216 -6435757153125/33554432
-3156911746875/16777216 1456813396875/8388608 -4368101540625/16777216 1235101621875/16777216
1950848428125/8388608 4808682215625/33554432 5415498065625/33554432 1224643828125/33554432
-1040907121875/8388608 872402203125/16777216 9574471340625/33554432 -2515660809375/33554432
3843060084375/16777216 328285603125/2097152 -4518424790625/33554432 -1036420884375/33554432
-27288515625/262144 8515530309375/33554432 1594530721875/8388608 -6709046184375/33554432
1389334978125/16777216 -2296712146875/16777216 -6213305409375/33554432 -1448544609375/16777216
-266938715625/1048576 -8147093840625/33554432 7327064671875/33554432 -2381420784375/16777216
-2757271396875/33554432 2304427828125/8388608 329102296875/16777216 -8366549053125/33554432
6637335459375/33554432 -1446160078125/33554432 -2260926890625/16777216 -4249168621875/16777216
9246113109375/33554432 -2051411990625/16777216 -718399790625/33554432 6048451209375/33554432
2019417309375/8388608 -2075668603125/8388608 -1042755871875/16777216 574083834375/16777216
-3199269271875/16777216 2045532159375/33554432 -4086118565625/33554432 8531707828125/33554432
-2920505878125/33554432 -689207859375/4194304 -7236198815625/33554432 -632350715625/33554432
-1173845278125/8388608 298434328125/8388608 5579215209375/33554432 3246839353125/16777216
339530559375/2097152 6801211246875/33554432 -3371159821875/16777216 6086009934375/33554432
-880171875/1048576 8367935521875/33554432 4701639628125/33554432 2398969790625/8388608
-875330521875/16777216 -2316169284375/33554432 2891849915625/33554432 -1425508509375/16777216
-1273536515625/8388608 2444010965625/16777216 904122646875/8388608 411958771875/2097152
-3662202590625/16777216 -869521096875/33554432 8697888084375/33554432 391084734375/4194304
3872580703125/33554432 2341692778125/16777216 -1147796353125/8388608 -1321589840625/8388608
-2278259784375/8388608 338463759375/2097152 190258471875/2097152 -587366503125/2097152
3977257903125/33554432 -2605917909375/33554432 1828055371875/16777216 -892960396875/4194304
3391822790625/33554432 679931296875/33554432 825083428125/33554432 3551794678125/16777216
-7545064040625/33554432 1529510653125/33554432 408262884375/33554432 6737719415625/33554432
674973965625/8388608 841098684375/33554432 4865448253125/16777216 -4485634978125/16777216
-4071650109375/33554432 -169430709375/8388608 -1983671728125/16777216 2241612421875/16777216
-1483610259375/33554432 2916287578125/16777216 -330341034375/8388608 478232203125/2097152
-312185296875/4194304 -477490321875/8388608 1484460665625/8388608 -149045484375/1048576
-6464853965625/33554432 -1153456134375/4194304 8228595328125/33554432 -1015289428125/8388608
-2227784578125/8388608 2267165184375/16777216 -185699878125/4194304 2466870928125/8388608
1487242996875/8388608 -8757655584375/33554432 -498816478125/4194304 -8884598071875/33554432
-6088129753125/33554432 -8679134840625/33554432 -4113082115625/16777216 -1702768003125/8388608
2495681446875/33554432 2896515403125/33554432 -2464202221875/8388608 916804528125/8388608
-1580549465625/33554432 -7518897290625/33554432 169991690625/8388608 6902755415625/33554432
-3362235590625/33554432 -7887603384375/33554432 -6801248053125/33554432 658305046875/33554432
-1852845215625/16777216 -225175096875/1048576 -249373753125/4194304 4828580934375/16777216
209940759375/8388608 4434888365625/16777216 -237454303125/33554432 -1232435596875/33554432
330383615625/2097152 2076241584375/8388608 -4521836315625/33554432 5325831140625/33554432
1994115628125/16777216 -6100667671875/33554432 -447807253125/16777216 10009851628125/33554432
1602408853125/8388608 6692790515625/33554432 -7992060440625/33554432 -4975903940625/33554432
2829720796875/33554432 -2498030896875/8388608 3917999728125/33554432 5689671984375/33554432
-2598293821875/16777216 -4390809009375/33554432 532385578125/33554432 1280354503125/16777216
860872828125/33554432 500583684375/4194304 535531246875/4194304 6511831115625/33554432
-40092009375/262144 2621804034375/33554432 -1038101109375/33554432 -1256185565625/33554432
-2811614690625/16777216 4824053240625/33554432 204946659375/33554432 -1805009371875/33554432
4772689528125/33554432 932433046875/16777216 -2394025865625/33554432 9688699059375/33554432
-4266402103125/16777216 -340639340625/4194304 -124179459375/1048576 -3343859728125/33554432
543074165625/16777216 4295418703125/16777216 276130190625/4194304 3314757703125/33554432
1135147246875/33554432 -160531303125/33554432 -4644407465625/33554432 -1600885584375/16777216
3626908996875/33554432 4307327503125/16777216 -8098339171875/33554432 -9350631009375/33554432
-553599834375/33554432 590154815625/33554432 6803504484375/33554432 -357305634375/2097152
7209106096875/33554432 212664215625/8388608 -1812397528125/8388608 1112093071875/8388608
2374619784375/33554432 -3074537784375/16777216 680855221875/16777216 9425948446875/33554432
-6029094009375/33554432 -7071974334375/33554432 473651128125/8388608 -2612999653125/33554432
3290935809375/16777216 790279040625/16777216 -1073722284375/8388608 -4505307684375/33554432
-6044790084375/33554432 1528080778125/33554432 1575072084375/16777216 -270719653125/4194304
-4538549503125/16777216 1121990709375/16777216 85911853125/1048576 2182003996875/16777216
7793835853125/33554432 637360790625/8388608 -1055064909375/16777216 -8752426509375/33554432
-985224103125/33554432 -1003054865625/4194304 3854270446875/16777216 2714750071875/16777216
1852820409375/33554432 386957746875/2097152 7702684846875/33554432 -197569996875/2097152
-1483701234375/16777216 632116828125/8388608 -4488265171875/33554432 -2963149078125/16777216
2456149471875/16777216 -3685985428125/33554432 952339471875/8388608 4250237409375/33554432
-481719721875/8388608 -2983855640625/16777216 6046363603125/33554432 -5186339615625/33554432
-7991904853125/33554432 2942762409375/33554432 911888146875/33554432 -3750749428125/33554432
-2246793009375/16777216 -2675749696875/16777216 25438528125/131072 -6635679328125/33554432
-94288715625/8388608 -4229329884375/33554432 -4426585528125/16777216 -4679837821875/16777216
1259709721875/8388608 766664690625/16777216 -270661640625/8388608 -4730992921875/16777216
1723206515625/8388608 1050281990625/4194304 2726830753125/16777216 4436971846875/16777216
8256614596875/33554432 2440054153125/8388608 -122676853125/8388608 -364610428125/8388608
-7494531721875/33554432 7595921465625/33554432 -4752326765625/33554432 9596300446875/33554432
1565989340625/33554432 -5770203215625/33554432 -610920628125/8388608 -7615553953125/33554432
-489153009375/4194304 -2903757646875/16777216 -5010664078125/33554432 -304362384375/2097152
-1168696340625/33554432 -3787981265625/16777216 6360014540625/33554432 4401429328125/33554432
-9221214271875/33554432 1548813478125/8388608 3122954203125/16777216 -1862753446875/16777216
6028160971875/33554432 -5496897178125/33554432 -180610396875/8388608 7154291259375/33554432
2200079634375/33554432 1707861028125/16777216 -4105177621875/33554432 -3782667384375/33554432
-435223509375/8388608 6605957503125/33554432 662460609375/8388608 -6123126721875/33554432
510746596875/4194304 3929170903125/33554432 843629015625/4194304 2431750059375/16777216
279948496875/4194304 -3816018196875/16777216 -3082782496875/16777216 4234258171875/33554432
1742557940625/16777216 531063478125/16777216 3273357871875/33554432 590746734375/8388608
-2401567528125/8388608 2951499103125/33554432 76271746875/8388608 -1050135365625/33554432
-7060883465625/33554432 958419421875/16777216 7915715625/33554432 264203784375/1048576
2288690428125/16777216 -4923853021875/33554432 -4405641515625/33554432 -884375803125/4194304
-1510119834375/16777216 -874412278125/8388608 -337562203125/16777216 5349926465625/33554432
-7301461396875/33554432 1371952171875/8388608 -427107496875/4194304 -6938489896875/33554432
379194365625/8388608 3163061015625/33554432 1723769109375/16777216 4302254090625/16777216
1356010434375/33554432 -455707078125/2097152 2507223984375/8388608 3682603228125/16777216
6672430809375/33554432 1900956571875/8388608 -4532726484375/33554432 4251709753125/33554432
181640484375/4194304 -30025453125/131072 2350219659375/16777216 612342009375/16777216
-1481431603125/16777216 5287519040625/33554432 1180828059375/16777216 3804481134375/16777216
550474078125/2097152 4559867221875/33554432 -2478333646875/33554432 1503972196875/8388608
-799643090625/8388608 -525653203125/33554432 -1548688884375/16777216 -669069384375/16777216
-2372942390625/33554432 -1362650484375/33554432 4870013690625/33554432 679507546875/4194304
964835765625/16777216 -4502207484375/16777216 3220084734375/33554432 3203970290625/16777216
7639100634375/33554432 -721677684375/4194304 2916542165625/33554432 2697101409375/33554432
-915827559375/4194304 4933650703125/33554432 3269039278125/33554432 -6479060146875/33554432
7189093940625/33554432 -613509703125/2097152 -8775029203125/33554432 -1724952084375/16777216
-4128514134375/33554432 9918110071875/33554432 2945852840625/16777216 49661915625/4194304
4645204434375/33554432 447029428125/2097152 -4541084540625/33554432 -5613272765625/33554432
-7351956215625/33554432 564887015625/2097152 123404821875/2097152 2442007284375/33554432
-8516634871875/33554432 4920925940625/16777216 5517742696875/33554432 -1299695296875/16777216
4834762640625/16777216 2100360478125/16777216 -9481762040625/33554432 8026213265625/33554432
351996871875/33554432 -30041109375/1048576 -4559370796875/16777216 -8901476090625/33554432
-561882834375/2097152 587943421875/8388608 222150496875/33554432 -739429865625/33554432
1195436596875/8388608 3058289765625/16777216 -7417047403125/33554432 167447034375/1048576
3061257140625/16777216 -200143865625/2097152 -232256053125/2097152 6668551228125/33554432
-2250040865625/8388608 -8008059665625/33554432 5345628403125/33554432 136447846875/1048576
4455822534375/33554432 -9983945203125/33554432 8895293090625/33554432 -964692571875/33554432
4768852846875/16777216 -742319053125/33554432 -1736272959375/8388608 8834708784375/33554432
6574826428125/33554432 470489240625/4194304 1248343584375/4194304 -180550340625/4194304
-9844603396875/33554432 -9761144390625/33554432 4230396121875/16777216 114584071875/2097152
-2637653259375/16777216 -861616003125/4194304 -6239762859375/33554432 -4773123178125/16777216
33061528125/1048576 -69653146875/33554432 -443919553125/2097152 -5110327921875/33554432
-7700570034375/33554432 -8920627453125/33554432 5221764253125/33554432 311383940625/2097152
-1243263421875/8388608 20367534375/4194304 8921141334375/33554432 -812878828125/33554432
1461733303125/8388608 -369500184375/16777216 280523165625/33554432 4874611490625/16777216
934468340625/33554432 -1631272959375/33554432 2464576415625/8388608 6364133671875/33554432
-9764595740625/33554432 2351633053125/33554432 -596086153125/16777216 5752876171875/33554432
-4492178053125/33554432 4494953315625/16777216 7729789265625/33554432 2483559046875/8388608
-5167611178125/33554432 6915356221875/33554432 2973121340625/16777216 -1531399284375/8388608
4105674909375/16777216 1087924228125/4194304 7371315515625/33554432 -1742533190625/33554432
-356577121875/33554432 -7016031590625/33554432 2323856371875/16777216 5199621421875/33554432
-4053316959375/33554432 -1525657321875/33554432 1416377353125/16777216 -1263900103125/8388608
-9800914415625/33554432 4326706340625/16777216 8934201740625/33554432 3296103796875/33554432
4142939953125/33554432 -5239756865625/33554432 -2518435790625/33554432 -8796806971875/33554432
8934465140625/33554432 1172296246875/8388608 -883995478125/33554432 -57082659375/4194304
2729793234375/33554432 -319066059375/33554432 -373142109375/33554432 -4058368884375/33554432
-5837853815625/33554432 -7353572053125/33554432 -511075528125/4194304 3161368134375/33554432
2618888709375/33554432 161202965625/1048576 18111946875/65536 3150090084375/33554432
-2739723196875/16777216 6461883928125/33554432 -2389674871875/33554432 -10103184375/262144
-5867915128125/33554432 -2322509859375/16777216 4717238465625/33554432 -2477837709375/16777216
900507440625/33554432 -6424745259375/33554432 176296321875/8388608 -513635015625/8388608
-6272634984375/33554432 -2194090396875/16777216 -110404846875/4194304 -534970940625/16777216
-4648184109375/33554432 -245955103125/8388608 -7116174778125/33554432 -3593762053125/33554432
1722028921875/33554432 -2550467015625/16777216 -1829312296875/33554432 8033999821875/33554432
-9540404559375/33554432 1037111371875/4194304 7541725153125/33554432 -3186679040625/33554432
-4484823534375/33554432 -433369528125/16777216 -3200390625/1048576 -9234551203125/33554432
9916233271875/33554432 4683529190625/16777216 2183015259375/16777216 -79952971875/8388608
347744746875/33554432 -6701805740625/33554432 -2594407546875/33554432 3084272634375/16777216
2406657159375/8388608 4030172521875/33554432 -2332051753125/16777216 4362646940625/33554432
9599345278125/33554432 -7599319490625/33554432 441636196875/2097152 -8627021709375/33554432
-270204796875/2097152 3190713328125/16777216 -964863421875/8388608 3768596540625/33554432
6836244740625/33554432 -1013889965625/8388608 4600434271875/33554432 -1235074809375/4194304
-2781536746875/33554432 -8701068365625/33554432 4570965684375/33554432 -8676803578125/33554432
4703641734375/16777216 -397388128125/2097152 2160993721875/33554432 -4947340359375/16777216
-1858787578125/8388608 4244233865625/16777216 3791703253125/16777216 382697878125/4194304
-1936953234375/33554432 -4113002878125/33554432 923407546875/33554432 7754779565625/33554432
5215265146875/33554432 3709027603125/16777216 -1670329265625/33554432 -881312071875/16777216
-729359109375/8388608 5555021878125/33554432 815945296875/8388608 -713754440625/16777216
748758759375/4194304 -818209603125/16777216 2762954259375/33554432 2786335396875/16777216
12366534375/65536 -147579628125/4194304 -2175593821875/8388608 4336882340625/33554432
1345877953125/16777216 -2078077059375/8388608 227154759375/4194304 683959828125/16777216
-56788584375/1048576 -8372142215625/33554432 3506778534375/33554432 -1106501728125/8388608
-209864896875/4194304 -6769834996875/33554432 -303120628125/8388608 -809035453125/8388608
3447358471875/33554432 30097209375/33554432 1070699690625/33554432 -2345738709375/16777216
997748334375/16777216 1512559171875/16777216 -2126405428125/33554432 4654099321875/33554432
-5959954153125/33554432 -6559236346875/33554432 -3118009696875/33554432 -3276701709375/16777216
-3872172384375/33554432 -1380852103125/16777216 3782310459375/16777216 6275261578125/33554432
-6054327234375/33554432 -6484423415625/33554432 6054217659375/33554432 873240046875/33554432
-717253865625/8388608 -3532491534375/16777216 8121082921875/33554432 1490075503125/33554432
2007965315625/8388608 1815941221875/16777216 -439301465625/2097152 -3605361234375/33554432
-2489774540625/8388608 -4040435221875/16777216 -817323909375/33554432 4703399540625/16777216
-8481166415625/33554432 -5875183171875/33554432 2038205109375/16777216 -1907349853125/33554432
2085483740625/16777216 3697188365625/33554432 -4768145109375/16777216 2247230390625/33554432
3875750503125/16777216 -176504728125/2097152 -17599771875/4194304 -6115472803125/33554432
-9106841109375/33554432 3319696640625/33554432 812034984375/4194304 1862091871875/33554432
-874674928125/16777216 746925496875/8388608 1068489009375/4194304 4258643615625/16777216
81759140625/33554432 4398123796875/33554432 -9863867559375/33554432 -130641834375/33554432
188221659375/2097152 -681330909375/8388608 9163786115625/33554432 -787065515625/8388608
-188390071875/1048576 -5563766184375/33554432 -473126915625/4194304 -6509128078125/33554432
859623796875/16777216 7517579128125/33554432 -1066174021875/8388608 33846346875/131072
3713482434375/33554432 -43907971875/33554432 5446163915625/33554432 375938878125/4194304
1286222971875/33554432 2580164315625/16777216 -3591258815625/16777216 795139490625/16777216
7351694165625/33554432 4184023753125/16777216 -1062810271875/16777216 -4594480640625/33554432
4038821821875/33554432 -659624803125/16777216 1708304203125/8388608 -1791059990625/8388608
-2495339728125/33554432 5928313171875/33554432 9775850109375/33554432 1827222028125/16777216
-5450923659375/33554432 -1517077021875/16777216 3570838303125/33554432 -2559562021875/16777216
8509907821875/33554432 2891749453125/16777216 876208415625/16777216 3065003840625/33554432
7597361990625/33554432 -1400777840625/8388608 -6715967503125/33554432 -2526129553125/16777216
4248792646875/33554432 -1750919540625/8388608 -441865696875/33554432 -2226805884375/33554432
-4337479996875/16777216 906032746875/33554432 175447284375/33554432 6508876021875/33554432
-6435576815625/33554432 -1640620903125/16777216 8830119871875/33554432 -4180105284375/33554432
-1024674590625/8388608 -215339128125/16777216 -694874203125/33554432 -184369265625/2097152
-6479738221875/33554432 8554941403125/33554432 2626315959375/33554432 1837992740625/16777216
2340916284375/8388608 -589990490625/33554432 -8610765328125/33554432 -2465104303125/8388608
7272766715625/33554432 4585207096875/33554432 -1849908684375/8388608 7385199215625/33554432
-7859700890625/33554432 -2956430934375/16777216 -2084704921875/33554432 -8948213390625/33554432
-1614504534375/8388608 8214636628125/33554432 -953848678125/4194304 -683320303125/4194304
-74346721875/1048576 836477034375/16777216 -8487478790625/33554432 -5822679384375/33554432
-3012590728125/16777216 -3032890284375/33554432 5352094265625/33554432 -961584234375/8388608
274213321875/16777216 -353121196875/16777216 -7720601184375/33554432 3570059165625/16777216
1799056228125/8388608 2901275484375/16777216 3753498328125/16777216 3379904934375/16777216
-4278250940625/16777216 -2422403634375/8388608 -2940300665625/16777216 -10054420415625/33554432
-1821237459375/8388608 -572416565625/2097152 -9887433571875/33554432 -2239885659375/16777216
-3982934821875/16777216 -7498895634375/33554432 -4786243884375/33554432 3026999465625/33554432
-5860554271875/33554432 2301512578125/33554432 -315234834375/33554432 2762214365625/33554432
500269059375/8388608 -329410096875/16777216 1655607853125/8388608 -66102571875/4194304
-4075876790625/33554432 16749046875/1048576 -1222131496875/16777216 67698478125/4194304
1019249840625/4194304 7195846865625/33554432 -2220738459375/16777216 -1425680840625/33554432
8962063546875/33554432 889124146875/16777216 -4565984428125/33554432 -1040686584375/33554432
498964453125/2097152 -1952561221875/16777216 -3724633828125/33554432 -5515764328125/33554432
4025401959375/16777216 7896430546875/33554432 -99487546875/33554432 -50799703125/16777216
-1925096896875/16777216 1194575803125/33554432 982562896875/16777216 2985927365625/16777216
95866303125/16777216 -493463221875/4194304 -1770674465625/8388608 886620478125/16777216
4310212584375/33554432 -4960813115625/33554432 6694846059375/33554432 4529191621875/16777216
2082548465625/8388608 -3576095803125/33554432 -7256555240625/33554432 -306269840625/2097152
-3018174178125/16777216 -2188066153125/33554432 8728162040625/33554432 1080586115625/16777216
-9362985853125/33554432 4069367165625/33554432 252660646875/16777216 -2060689809375/16777216
4635123703125/16777216 300211321875/1048576 6096070528125/33554432 -4532678071875/16777216
1978572290625/33554432 527890565625/16777216 -1512544171875/33554432 1907429053125/16777216
315275465625/4194304 4251029053125/33554432 3924386803125/33554432 -1447923103125/33554432
6691358034375/33554432 -4337614078125/16777216 -213457434375/1048576 -4985247496875/16777216
5962974590625/33554432 -9877978921875/33554432 3449954559375/16777216 -6544988428125/33554432
1827666796875/33554432 -5938297096875/33554432 -3661857215625/16777216 489330309375/8388608
-3323892890625/16777216 -6794311996875/33554432 -4524491071875/33554432 2778895040625/16777216
-6291344503125/33554432 9279744121875/33554432 1504810621875/8388608 12215090625/4194304
