1600
450698253125/4194304 157585206875/1048576 82633855625/524288 -139397885625/2097152
609639588125/4194304 -163203801875/1048576 -11261451875/262144 235824773125/2097152
180135856875/4194304 -223579580625/4194304 -35399299375/1048576 501186919375/4194304
-127972604375/4194304 -357056653125/4194304 337935763125/4194304 332430585625/2097152
82906013125/2097152 -425737064375/4194304 -342140395625/4194304 -659007530625/4194304
216590683125/4194304 -534395626875/4194304 -595404154375/4194304 -269204578125/4194304
-10524435625/131072 387858106875/4194304 161454570625/4194304 608353989375/4194304
-296465691875/2097152 -133456948125/4194304 -299927218125/2097152 549169921875/4194304
114472793125/4194304 200532246875/2097152 -460057091875/4194304 589612988125/4194304
-169384593125/2097152 108911818125/4194304 113471964375/1048576 17366094375/4194304
6342275625/4194304 -285397138125/4194304 171489683125/2097152 148536739375/1048576
-64591220625/4194304 155613448125/1048576 89756989375/1048576 -373922684375/4194304
71883949375/4194304 -230836798125/4194304 -187289403125/4194304 -77193961875/4194304
-123502830625/1048576 -43645875625/2097152 -9912768125/2097152 -562190168125/4194304
61055079375/1048576 -141854770625/4194304 551052941875/4194304 9495364375/2097152
-309523684375/2097152 92351434375/2097152 114157030625/4194304 -10655295625/131072
39095796875/1048576 -130678806875/1048576 36128726875/2097152 182989278125/2097152
357617419375/4194304 -422817785625/4194304 552337506875/4194304 129878734375/4194304
-261892896875/4194304 49630101875/4194304 142158811875/4194304 -38785325625/262144
629141193125/4194304 -39113009375/2097152 -659119714375/4194304 299680326875/2097152
-117345625/4096 -82020049375/2097152 325414193125/4194304 304380083125/2097152
61866016875/524288 -112887533125/2097152 -21503776875/4194304 -496072488125/4194304
-614338838125/4194304 620485081875/4194304 -2898869375/65536 50011408125/524288
-49322806875/2097152 1063883125/1048576 151651770625/1048576 315847621875/4194304
-30415516875/2097152 -214032649375/4194304 461853494375/4194304 8258581875/4194304
115910469375/2097152 -315523893125/4194304 3386379375/262144 -631694149375/4194304
-98444531875/4194304 -81723918125/1048576 464043168125/4194304 -289392106875/2097152
211947454375/4194304 -561754973125/4194304 323838425625/2097152 379800613125/4194304
-83808639375/2097152 -167463619375/2097152 208306979375/4194304 257168956875/4194304
109321915625/1048576 23150706875/2097152 410623491875/4194304 -146374993125/4194304
-81907194375/1048576 -466121711875/4194304 207049799375/4194304 -342122073125/4194304
-194622528125/2097152 -41206283125/262144 268682126875/4194304 481055008125/4194304
-9553033125/65536 179992950625/4194304 313175845625/4194304 -213745534375/4194304
100487416875/2097152 644972260625/4194304 -294901138125/4194304 177709025625/4194304
-25352550625/1048576 225657809375/4194304 -660967519375/4194304 -62513188125/1048576
-224968638125/4194304 283725489375/2097152 -151745159375/1048576 -597843006875/4194304
-811533125/16384 141572930625/2097152 290390036875/4194304 87505148125/4194304
17526666875/524288 6135291875/4194304 -4970879375/4194304 -118632231875/1048576
50566749375/1048576 213469420625/2097152 385607201875/4194304 193231458125/4194304
-23705071875/1048576 -221364400625/4194304 -331174801875/2097152 -79850664375/1048576
-324690449375/2097152 -160049083125/2097152 -32381003125/262144 72529658125/524288
-105244143125/4194304 -27551960625/524288 -149433750625/1048576 73025378125/524288
-541367960625/4194304 479359276875/4194304 -228262744375/2097152 96499551875/1048576
-80472846875/2097152 107701073125/1048576 -284234063125/4194304 357062226875/4194304
113847015625/1048576 852331875/1048576 -137563158125/4194304 -159432440625/4194304
316880434375/2097152 56402591875/2097152 -363735039375/4194304 -12549066875/131072
-53546214375/524288 185331159375/2097152 -93204006875/1048576 334956008125/2097152
578234175625/4194304 36963284375/4194304 4948391875/262144 70312103125/1048576
-45290233125/524288 -68909066875/4194304 165786283125/1048576 34783965625/1048576
635621986875/4194304 186926269375/2097152 -41758763125/2097152 643140181875/4194304
293413268125/2097152 -170610974375/2097152 -63468623125/2097152 526272600625/4194304
232030758125/4194304 498534026875/4194304 154630695625/4194304 -182090978125/2097152
-140022505625/1048576 -19347451875/524288 -36275454375/524288 -462752585625/4194304
59398411875/2097152 -594567210625/4194304 277655183125/4194304 16169563125/131072
-620470151875/4194304 286118889375/2097152 -303464375/65536 -91812869375/2097152
437122823125/4194304 221538223125/2097152 -330633904375/2097152 229784376875/4194304
-57557236875/4194304 -38816063125/262144 158462903125/4194304 57518564375/4194304
-135364504375/2097152 390899104375/4194304 -507467153125/4194304 304371738125/4194304
-610606548125/4194304 53730724375/1048576 69717134375/1048576 166420545625/1048576
74708118125/2097152 284377556875/4194304 -555516955625/4194304 -271377623125/4194304
-204501511875/4194304 -121500385625/4194304 -35466635625/2097152 -33805146875/524288
141915339375/4194304 405176489375/4194304 274441759375/2097152 326818981875/2097152
84432366875/4194304 -258616975625/2097152 -19765070625/1048576 590259395625/4194304
272794438125/2097152 425771201875/4194304 17210506875/1048576 -280823026875/2097152
-124893341875/2097152 82053603125/2097152 106143493125/4194304 587896788125/4194304
77101419375/2097152 -159374120625/1048576 -126216089375/4194304 451805990625/4194304
229703319375/4194304 70820401875/4194304 113367120625/2097152 -549362145625/4194304
76546476875/4194304 -578609794375/4194304 39537030625/4194304 6966370625/2097152
-472009799375/4194304 -553849598125/4194304 -518011451875/4194304 -584052485625/4194304
415605256875/4194304 184070856875/4194304 -326270313125/2097152 -195810915625/2097152
-208032854375/4194304 -460638135625/4194304 -197996381875/2097152 84706565625/2097152
140114929375/2097152 56907705625/2097152 -378033811875/4194304 1297369375/4194304
158815755625/1048576 10202778125/4194304 -103904165625/4194304 -75150066875/524288
256537614375/2097152 -122268491875/2097152 -49194824375/4194304 -54935164375/4194304
-100862009375/4194304 -234712258125/4194304 3233214375/524288 135839046875/1048576
-191334098125/2097152 -146957598125/4194304 -12621391875/524288 -3250388125/2097152
-220184434375/2097152 -227325041875/2097152 -38869313125/1048576 -144987274375/1048576
286877891875/4194304 168397210625/4194304 164732913125/4194304 -301809338125/2097152
-538186138125/4194304 -421363039375/4194304 -208558055625/2097152 377414209375/4194304
-68413174375/524288 -261512481875/2097152 -129658814375/1048576 -20601703125/524288
-230726125625/4194304 -315093410625/4194304 129130249375/2097152 -613116876875/4194304
-604177844375/4194304 -36042079375/4194304 424753108125/4194304 -96479205625/2097152
169818273125/2097152 109132965625/1048576 315089229375/2097152 470820506875/4194304
118325414375/4194304 87619774375/2097152 125035076875/4194304 486395701875/4194304
476022575625/4194304 36096880625/4194304 -279634610625/2097152 480151788125/4194304
12332281875/2097152 17441531875/4194304 -65439145625/4194304 -642488490625/4194304
-71137561875/2097152 83347835625/524288 -318337336875/2097152 -177942991875/4194304
-468899411875/4194304 -11507506875/4194304 -3848613125/131072 -252989483125/4194304
-419566540625/4194304 251731573125/2097152 12040029375/524288 523132691875/4194304
121704600625/1048576 623184669375/4194304 490223728125/4194304 -152557576875/1048576
49304260625/1048576 319776964375/2097152 286428919375/4194304 280578746875/2097152
36896589375/262144 -367810578125/4194304 18795194375/524288 -183393249375/4194304
-277970619375/4194304 -127809451875/4194304 549920604375/4194304 -18237664375/2097152
-8503941875/65536 -479212745625/4194304 607830670625/4194304 58981293125/524288
3716124375/1048576 -252211866875/4194304 -246242731875/2097152 315292544375/4194304
37405653125/262144 -63337514375/524288 -584251830625/4194304 -205732561875/2097152
81033066875/1048576 -88967464375/2097152 -372599250625/4194304 -562086654375/4194304
-227592786875/2097152 177649545625/2097152 -1088114375/262144 104424334375/1048576
166141300625/4194304 -15753569375/131072 -20280438125/262144 -513351489375/4194304
42671858125/524288 -314240659375/2097152 636994986875/4194304 -74701455625/4194304
277158126875/4194304 -104532741875/1048576 30103391875/262144 82577121875/4194304
-470568250625/4194304 -272008849375/2097152 -156470094375/4194304 34777700625/262144
243196736875/4194304 548462601875/4194304 -58317176875/4194304 -108931190625/1048576
41623043125/262144 313921798125/2097152 -296721084375/4194304 371755206875/4194304
9100970625/65536 110050074375/4194304 170356285625/4194304 387753388125/4194304
-19340750625/4194304 -138675759375/2097152 194704559375/4194304 -228082551875/4194304
499607536875/4194304 -144646044375/1048576 -8449888125/262144 -240863074375/4194304
-665741125625/4194304 -7691466875/524288 62476386875/524288 -32334959375/1048576
608283003125/4194304 -51623554375/4194304 -15484671875/4194304 -543711741875/4194304
-1662608125/262144 619062915625/4194304 146787495625/4194304 -232675331875/4194304
225948731875/4194304 -284144679375/4194304 -108028734375/4194304 662539433125/4194304
180664431875/4194304 590631926875/4194304 -98419220625/2097152 77128709375/1048576
730198125/65536 -266727434375/2097152 -416149120625/4194304 -78190368125/524288
-47879766875/2097152 -335132484375/2097152 151352050625/4194304 -34649511875/524288
-307473945625/2097152 63940125625/524288 -153528039375/1048576 -229669366875/4194304
-556421195625/4194304 -340827856875/4194304 -138826760625/1048576 -25662074375/262144
80714076875/2097152 -7824691875/4194304 552159934375/4194304 248487536875/2097152
36678836875/524288 122452058125/4194304 11590765625/4194304 -379506506875/4194304
-247585710625/2097152 -548149289375/4194304 -70943911875/2097152 -98169898125/1048576
-140895703125/2097152 330309043125/2097152 -51052783125/524288 -138612661875/4194304
150949718125/4194304 157752411875/4194304 2304973125/131072 565937798125/4194304
44770653125/4194304 -62229326875/2097152 457404550625/4194304 26634235625/262144
-641806875/2097152 -11174924375/2097152 -188704213125/2097152 334470501875/4194304
136561918125/4194304 -128877528125/4194304 441631566875/4194304 -389599375/524288
671001384375/4194304 -67307869375/524288 -26624531875/4194304 580914599375/4194304
-376979755625/4194304 -73157910625/1048576 -263619744375/2097152 -86364309375/4194304
-118407563125/4194304 68546148125/1048576 -329013120625/2097152 -534777268125/4194304
-24450395625/1048576 63752278125/524288 124794883125/1048576 -32198739375/4194304
344558504375/4194304 269826969375/2097152 -610153129375/4194304 -248561230625/4194304
240886095625/4194304 -71939401875/4194304 110070655625/2097152 92472868125/4194304
311455209375/2097152 138810814375/4194304 -641066908125/4194304 39943551875/524288
75885901875/1048576 -113856306875/2097152 -13326411875/4194304 -4900434375/32768
381411714375/4194304 -307028720625/2097152 304135734375/2097152 295499029375/4194304
160742536875/2097152 -118245106875/2097152 187145753125/4194304 -13752159375/2097152
-174249636875/4194304 9282121875/2097152 -163055710625/4194304 306440793125/4194304
-61017340625/1048576 205480671875/4194304 165460213125/4194304 12901241875/2097152
51873659375/524288 -256144721875/4194304 455120963125/4194304 -86548868125/2097152
345012239375/4194304 82227429375/1048576 624447453125/4194304 -85449108125/4194304
-289308515625/4194304 -545307549375/4194304 229651741875/2097152 283772978125/2097152
-410174079375/4194304 536144155625/4194304 -550756321875/4194304 -486313953125/4194304
15713205625/524288 -73203899375/1048576 6012488125/2097152 -226317939375/2097152
-251590759375/4194304 -57439468125/4194304 668993125/131072 136378863125/2097152
125991655625/4194304 -632473146875/4194304 228278546875/2097152 -294670739375/2097152
-664037673125/4194304 377416924375/4194304 -3090968125/1048576 161533516875/4194304
-655023699375/4194304 -66834005625/524288 -42568510625/2097152 -440225315625/4194304
-594324141875/4194304 -322284145625/2097152 110855201875/4194304 -93440673125/1048576
258589840625/4194304 318595511875/4194304 49632909375/1048576 394448291875/4194304
-39192044375/262144 -281785104375/4194304 120310180625/1048576 7632209375/2097152
-20139774375/4194304 -66230680625/524288 -133965225625/2097152 -469312955625/4194304
-397474324375/4194304 145279576875/2097152 151724731875/2097152 258567755625/2097152
384116285625/4194304 6667113125/262144 -70497459375/524288 499178070625/4194304
20684714375/262144 -13106159375/524288 -440337761875/4194304 62425960625/524288
-74173280625/2097152 -470071655625/4194304 -211319755625/2097152 -369005614375/4194304
-214132749375/2097152 -76021074375/524288 56108561875/1048576 -374198185625/4194304
-175528365625/2097152 59564220625/4194304 -183621990625/2097152 140036455625/4194304
590584101875/4194304 -26178429375/1048576 144472399375/2097152 93975476875/4194304
-188242435625/4194304 56178964375/524288 -244187876875/4194304 136066829375/2097152
-33515123125/262144 198594408125/2097152 -1466938125/4194304 -664099713125/4194304
-204329195625/4194304 100631563125/4194304 -5284455625/4194304 32414745625/4194304
285781844375/2097152 125010126875/2097152 313668536875/2097152 -503853169375/4194304
223444278125/2097152 -50323590625/4194304 95645609375/4194304 564454396875/4194304
-147191976875/4194304 276668819375/4194304 -176892778125/4194304 73041703125/1048576
-435008213125/4194304 -441290095625/4194304 -461034271875/4194304 -65937091875/1048576
50468733125/524288 39801594375/2097152 14298144375/2097152 -376694388125/4194304
305971018125/4194304 -591050609375/4194304 -230127544375/2097152 242351141875/2097152
28789395625/524288 -70768125/16384 -137548776875/1048576 136825176875/4194304
-122301176875/1048576 -136813844375/2097152 -29973530625/2097152 303830161875/4194304
456538290625/4194304 240446800625/2097152 212187051875/4194304 -279856981875/4194304
43828785625/524288 143687535625/2097152 262979304375/4194304 -281287186875/2097152
-403587325625/4194304 -78837590625/2097152 -481662499375/4194304 -279050775625/4194304
576328676875/4194304 -7154218125/1048576 600136283125/4194304 -154255239375/2097152
-509112339375/4194304 -128671581875/1048576 118000590625/1048576 565429588125/4194304
78181939375/4194304 -82196000625/4194304 480598741875/4194304 325919936875/4194304
-2267291875/65536 263845329375/2097152 -95546231875/2097152 -190819480625/4194304
-537852729375/4194304 309707909375/2097152 111778220625/4194304 283005266875/2097152
4891595625/32768 -170861195625/4194304 516064874375/4194304 545742958125/4194304
-153538674375/4194304 -21648321875/524288 399004319375/4194304 13426095625/1048576
166282865625/4194304 32968040625/2097152 98574659375/2097152 13980679375/2097152
473691513125/4194304 -85007486875/2097152 -58352025625/524288 137657420625/4194304
-180569265625/2097152 576235416875/4194304 84556128125/2097152 362167846875/4194304
319247411875/2097152 145429459375/1048576 -241744404375/4194304 -79332789375/2097152
-325441259375/2097152 -597193789375/4194304 -55576991875/1048576 6098945625/262144
621597284375/4194304 -257776933125/4194304 1357080625/524288 -106189843125/2097152
-172393956875/2097152 613503478125/4194304 -558617030625/4194304 462220909375/4194304
3734619375/1048576 -380035009375/4194304 260217143125/2097152 -170899168125/2097152
258973590625/2097152 23542915625/524288 170709010625/4194304 -654453184375/4194304
-107649244375/2097152 615768561875/4194304 -56685465625/2097152 -3183653125/262144
142338114375/1048576 -367887761875/4194304 -265369211875/4194304 125675833125/1048576
-50845364375/1048576 527502214375/4194304 239491773125/2097152 541202408125/4194304
-222687488125/4194304 -331564465625/4194304 -269056319375/4194304 624157088125/4194304
-220820304375/4194304 -424194249375/4194304 -21853690625/4194304 502776159375/4194304
7291113125/262144 258065010625/4194304 -76598828125/1048576 -570099134375/4194304
-3275278125/262144 -646493228125/4194304 30737856875/4194304 235183475625/4194304
-2364931875/524288 -185100134375/4194304 -250706711875/4194304 260413314375/2097152
577062556875/4194304 206805375625/4194304 -143002350625/2097152 -57649144375/4194304
161685236875/2097152 -161444458125/2097152 -1190759375/65536 61683258125/1048576
223159544375/2097152 322828588125/4194304 -8377594375/131072 -2520066875/32768
485973318125/4194304 2101308125/32768 266657198125/2097152 346252118125/4194304
132004271875/4194304 214171450625/4194304 -139255376875/1048576 174576128125/2097152
-262489924375/4194304 231623418125/2097152 589272620625/4194304 -310821031875/2097152
-517635653125/4194304 355900704375/4194304 -106512675625/4194304 -53540980625/2097152
-43537805625/2097152 -170358711875/4194304 230577480625/2097152 277130529375/4194304
68690249375/524288 -122748879375/2097152 -283189268125/4194304 -274769428125/4194304
-41645954375/2097152 -621494255625/4194304 -238473204375/4194304 77964980625/524288
150630163125/2097152 -577620301875/4194304 160021131875/4194304 -425816144375/4194304
424073901875/4194304 -3867366875/524288 97265375625/2097152 -295263465625/4194304
48186943125/1048576 553699206875/4194304 241683433125/4194304 5068395625/65536
-350810683125/4194304 -27006840625/262144 -583951716875/4194304 53872493125/1048576
-397864660625/4194304 -182199606875/4194304 -267823579375/2097152 6459816875/262144
-296169708125/2097152 206315640625/2097152 56715401875/524288 -14155094375/2097152
-7714585625/1048576 14032059375/1048576 -531350756875/4194304 141391346875/1048576
-180661791875/2097152 408659606875/4194304 462365818125/4194304 10256484375/65536
-335466670625/2097152 382899736875/4194304 -91747286875/2097152 -106291701875/1048576
-36360849375/524288 -17048665625/2097152 145696126875/2097152 -28343826875/524288
20561683125/131072 52426653125/1048576 50200826875/1048576 224692563125/4194304
-93999253125/4194304 -620334859375/4194304 77708226875/1048576 -265837210625/4194304
562792730625/4194304 481209684375/4194304 139847719375/1048576 -229670425625/2097152
-115549538125/1048576 -68908904375/2097152 258780688125/4194304 106590268125/1048576
274519246875/2097152 -215153756875/2097152 260250338125/2097152 -33731566875/262144
-386449499375/4194304 567413369375/4194304 -7295484375/262144 -589290716875/4194304
-202968030625/2097152 -8787895625/2097152 -32868138125/524288 -188874768125/4194304
268895841875/4194304 388797303125/4194304 -207848708125/2097152 -219202924375/4194304
-312854536875/2097152 -247706345625/2097152 -13809494375/262144 101443468125/2097152
85673401875/1048576 253354671875/2097152 -593909674375/4194304 23710811875/262144
37418329375/4194304 -210589859375/2097152 200831060625/2097152 -322111220625/2097152
-101265368125/4194304 82226346875/524288 -55776781875/1048576 -123796118125/4194304
-89211780625/1048576 353351001875/4194304 4429106875/131072 506884124375/4194304
274100414375/2097152 -1207725625/524288 -23215748125/4194304 236916450625/2097152
-226889224375/4194304 37794684375/1048576 -26100484375/4194304 -66169279375/4194304
359892505625/4194304 -126842871875/4194304 634751714375/4194304 112178338125/1048576
-474938555625/4194304 248471196875/4194304 -46994509375/4194304 358101013125/4194304
-75008223125/4194304 622414956875/4194304 -235965716875/2097152 -3318155625/262144
-525294185625/4194304 -418150965625/4194304 160580608125/2097152 125815913125/1048576
292528526875/2097152 -76730935625/524288 -139714741875/1048576 520026279375/4194304
185285338125/2097152 268489573125/2097152 573424990625/4194304 104624781875/2097152
-335980954375/4194304 10867828125/524288 -2189239375/65536 -530481615625/4194304
50696390625/524288 288995343125/2097152 -97083648125/4194304 -166178515625/1048576
241872858125/4194304 -439536033125/4194304 -74352849375/4194304 -527454793125/4194304
-591178125625/4194304 155219366875/2097152 -251044945625/4194304 491085434375/4194304
2364161875/131072 249083556875/2097152 -1351433125/2097152 271979160625/4194304
233175164375/4194304 -323703100625/2097152 -782176875/131072 315216934375/4194304
-595597258125/4194304 -193445634375/2097152 628881843125/4194304 496808523125/4194304
10210580625/2097152 213782361875/2097152 136758606875/4194304 -13120026875/2097152
-145237756875/2097152 163938873125/1048576 137123143125/2097152 -579572029375/4194304
-260985921875/4194304 47368775625/524288 262257930625/4194304 264059174375/4194304
-623992941875/4194304 -663953904375/4194304 -86680856875/2097152 202436189375/2097152
-84039665625/4194304 -183535335625/4194304 -507323660625/4194304 -2227840625/262144
-76196725625/4194304 78328229375/524288 84866231875/1048576 -204285748125/4194304
28264163125/262144 -280623033125/4194304 -530529136875/4194304 285712425625/4194304
68252424375/2097152 -17667695625/1048576 -388310733125/4194304 -176597784375/2097152
38880816875/2097152 -235195223125/2097152 -82970994375/2097152 -618861554375/4194304
377376304375/4194304 589128355625/4194304 59079796875/4194304 115419374375/2097152
661224375/2097152 -603067430625/4194304 456704621875/4194304 371037863125/4194304
-599013029375/4194304 126636440625/1048576 611778524375/4194304 -483086100625/4194304
334492346875/4194304 -427288644375/4194304 -238636183125/4194304 55711928125/524288
132784055625/1048576 -86906173125/4194304 327644679375/2097152 266939578125/4194304
236362008125/2097152 -4657796875/65536 -255671695625/2097152 -36401193125/1048576
-253988453125/2097152 -157045441875/1048576 215888458125/2097152 636522884375/4194304
-538746744375/4194304 189416324375/4194304 -31262408125/1048576 -359996051875/4194304
-42253839375/2097152 250045766875/2097152 298825350625/4194304 278900124375/4194304
174225881875/2097152 -476870686875/4194304 534757975625/4194304 -283165425625/4194304
295551055625/4194304 36044394375/1048576 590381475625/4194304 118467059375/1048576
47415310625/4194304 253189545625/2097152 468516968125/4194304 -631337079375/4194304
-252814051875/2097152 -3427385625/2097152 164876193125/4194304 -4181899375/65536
-84733150625/1048576 -265603696875/2097152 -131069849375/4194304 -79113354375/524288
-556277341875/4194304 398559855625/4194304 -30740814375/262144 309628534375/4194304
-135010020625/1048576 528886326875/4194304 170193539375/2097152 -6494884375/1048576
242175395625/4194304 -470278661875/4194304 -595972063125/4194304 -48941000625/2097152
88151970625/4194304 -183008125/4096 285256071875/2097152 -473876571875/4194304
-192677531875/2097152 61710653125/2097152 -37789181875/2097152 -350868639375/4194304
486999766875/4194304 509045163125/4194304 -20824541875/524288 175204510625/2097152
261033325625/2097152 -64410686875/1048576 451641465625/4194304 -386375730625/4194304
-22484324375/1048576 -139366530625/4194304 175335395625/2097152 14370229375/262144
-10712453125/262144 -9087635625/131072 364693491875/4194304 547929381875/4194304
-9661050625/4194304 -224591450625/4194304 36644733125/262144 275797099375/2097152
-219414105625/2097152 369778188125/4194304 -561984123125/4194304 363429519375/4194304
-419500773125/4194304 396896478125/4194304 15361935625/4194304 -16189399375/262144
-3448068125/1048576 35368293125/2097152 102669966875/1048576 358618960625/4194304
-86613713125/1048576 255163324375/2097152 51475706875/4194304 94269918125/2097152
-584963909375/4194304 61344493125/1048576 222851660625/2097152 131583645625/2097152
91369044375/4194304 325446773125/2097152 -136548124375/1048576 410479545625/4194304
440002133125/4194304 539812304375/4194304 666674230625/4194304 3864981875/2097152
-534500815625/4194304 710728125/262144 227966261875/4194304 -35370248125/524288
510156578125/4194304 65627500625/1048576 94881329375/2097152 -620070821875/4194304
-658364791875/4194304 89582016875/4194304 -313157761875/4194304 -178066549375/2097152
-481580354375/4194304 -634176280625/4194304 612557834375/4194304 -95358204375/4194304
-4292398125/1048576 -259144339375/4194304 -343080119375/4194304 -136279529375/1048576
8478569375/524288 -161673589375/1048576 26503133125/4194304 -199543084375/2097152
166917929375/4194304 -5606856875/65536 -561310378125/4194304 -47871189375/4194304
386419938125/4194304 -210466394375/2097152 3008844375/1048576 -142791825625/1048576
-45408645625/4194304 -49026309375/4194304 184881295625/2097152 -279263669375/2097152
-453837738125/4194304 399160716875/4194304 587196620625/4194304 -245738301875/2097152
-70301101875/4194304 -74354941875/2097152 -566655604375/4194304 19951359375/4194304
81301288125/2097152 41455818125/524288 68841095625/524288 50712715625/4194304
641366090625/4194304 208369301875/2097152 569715740625/4194304 308168531875/4194304
608200373125/4194304 -308050716875/2097152 -427077858125/4194304 -351799665625/4194304
81863140625/524288 -88948206875/1048576 -294450263125/2097152 368165261875/4194304
-228410890625/4194304 -653915044375/4194304 312489765625/4194304 -612557579375/4194304
307377191875/4194304 -79950231875/1048576 144137478125/1048576 -10008144375/131072
12023790625/262144 -333130326875/4194304 10308225625/4194304 161485110625/4194304
99046308125/2097152 53387390625/1048576 50730026875/4194304 533245561875/4194304
143879121875/2097152 -200348103125/2097152 89660131875/1048576 644989045625/4194304
-5571480625/1048576 142495266875/4194304 -273395148125/2097152 132630665625/2097152
99117669375/4194304 314547053125/4194304 -60836393125/2097152 -452323006875/4194304
-33801441875/262144 133409958125/4194304 -498877893125/4194304 308262879375/4194304
47869563125/1048576 -387488416875/4194304 -315874210625/4194304 -240174019375/4194304
-363538895625/4194304 287429653125/2097152 -316910006875/4194304 -112544926875/4194304
241800433125/4194304 -606909144375/4194304 -410441058125/4194304 173503235625/4194304
-406390673125/4194304 649449643125/4194304 -325838675625/4194304 -347888349375/4194304
131350699375/4194304 149898043125/4194304 -484894729375/4194304 563399288125/4194304
-102985965625/1048576 668985918125/4194304 470973471875/4194304 138992791875/1048576
-362802948125/4194304 -58896869375/4194304 -557588680625/4194304 -427482550625/4194304
21977561875/4194304 257149819375/4194304 196227275625/2097152 26795668125/4194304
-148848296875/2097152 -317252039375/4194304 121415840625/4194304 -10421806875/1048576
453988239375/4194304 557813789375/4194304 -670341928125/4194304 102321385625/4194304
-37773293125/262144 8569335625/524288 28287403125/4194304 -37188584375/524288
485484588125/4194304 246826478125/4194304 472071353125/4194304 335566295625/4194304
-268348314375/2097152 -422062691875/4194304 -364484538125/4194304 154447234375/2097152
50374369375/524288 61522079375/1048576 325359464375/2097152 -238586443125/2097152
-138707864375/1048576 63943850625/2097152 -114581506875/4194304 307882416875/4194304
4179265625/4194304 -212279340625/2097152 -138494358125/4194304 -596815135625/4194304
-27895346875/262144 446517690625/4194304 -204001008125/4194304 135001861875/1048576
-459356804375/4194304 467161938125/4194304 -108272019375/1048576 20489626875/4194304
-297570421875/2097152 94036105625/2097152 -657125875625/4194304 89926959375/4194304
510960339375/4194304 -533056404375/4194304 -371605970625/4194304 100382059375/4194304
351991470625/4194304 599805918125/4194304 441746485625/4194304 -19494180625/2097152
-51511240625/4194304 -49958474375/2097152 -295428280625/2097152 402061748125/4194304
-245382828125/2097152 -191296834375/2097152 -663327368125/4194304 -412527571875/4194304
32973383125/4194304 -87189426875/4194304 -335847368125/4194304 -163417383125/4194304
-454727129375/4194304 200897266875/4194304 -14379130625/262144 -61236746875/4194304
46474489375/4194304 118707500625/2097152 -452571734375/4194304 94964848125/2097152
8784389375/524288 -16893053125/1048576 433947341875/4194304 209607644375/2097152
194422933125/4194304 179036025625/4194304 -229524140625/4194304 -4808383125/65536
-301439038125/2097152 122543068125/4194304 -67402189375/1048576 -1372186875/131072
-446288128125/4194304 -24532808125/2097152 -76150453125/4194304 282751600625/2097152
-32397604375/262144 642658808125/4194304 266397011875/4194304 -27589468125/524288
-213478736875/4194304 59223976875/1048576 474786935625/4194304 -15055841875/1048576
-32982626875/4194304 434668625625/4194304 -279586910625/2097152 -270856939375/4194304
-35546646875/2097152 10078914375/4194304 -302668163125/2097152 8600751875/1048576
-93928755625/4194304 636476384375/4194304 294039253125/4194304 12583006875/2097152
133762759375/4194304 -424884008125/4194304 618121599375/4194304 199213896875/2097152
24221924375/1048576 311725855625/4194304 -504887011875/4194304 63860293125/2097152
35080218125/4194304 2393354375/4194304 -9965295625/524288 -413507999375/4194304
24142501875/524288 -40489173125/524288 -11155826875/262144 -627961465625/4194304
-440650033125/4194304 -28200838125/262144 433253464375/4194304 -4429411875/131072
198822985625/2097152 286121050625/2097152 -54152991875/2097152 150992704375/4194304
-116605638125/1048576 -344664765625/4194304 -59222586875/524288 30922543125/262144
622854724375/4194304 349723943125/4194304 30711181875/524288 -114205246875/1048576
-667656041875/4194304 -41588588125/1048576 -501851128125/4194304 207245340625/4194304
-154398669375/4194304 86575829375/4194304 155520223125/1048576 183365090625/4194304
-426730046875/4194304 -7804305625/262144 41252203125/524288 35329599375/262144
644971239375/4194304 227304239375/4194304 -510950778125/4194304 472318911875/4194304
-256542730625/2097152 -121921158125/4194304 -632020753125/4194304 -81175988125/4194304
565743990625/4194304 -176326870625/2097152 -87526901875/1048576 2007125625/262144
111448038125/4194304 428473269375/4194304 269753166875/4194304 -50048675625/524288
35881989375/262144 94998104375/2097152 7627081875/131072 245886443125/4194304
254496526875/4194304 -271734375625/2097152 -25102126875/2097152 -17441408125/1048576
3900310625/2097152 -156717650625/4194304 -492176643125/4194304 124295885625/4194304
-597570789375/4194304 303152078125/4194304 -438306048125/4194304 443274538125/4194304
-75403744375/1048576 -40973056875/1048576 -248021900625/4194304 349536304375/4194304
-112195084375/4194304 -278115024375/4194304 -93727888125/1048576 -484497070625/4194304
253790163125/4194304 -226069631875/4194304 -535808769375/4194304 343638454375/4194304
-250090400625/4194304 -212932730625/2097152 49192664375/2097152 234955589375/2097152
38504706875/524288 589024846875/4194304 484791939375/4194304 185543808125/4194304
-286236531875/4194304 -595492433125/4194304 116963598125/2097152 105722871875/4194304
-64869523125/4194304 80201614375/4194304 -40802133125/524288 -259805965625/2097152
-133169793125/2097152 543879299375/4194304 -471320173125/4194304 -292071990625/2097152
-150652713125/4194304 -4932265625/131072 72078990625/4194304 103189861875/2097152
-321717085625/4194304 -66956048125/1048576 407562665625/4194304 133422706875/1048576
44282076875/2097152 291734878125/4194304 53825283125/4194304 -294598224375/2097152
-320694243125/2097152 -262855418125/4194304 -153207053125/1048576 246206504375/4194304
498207285625/4194304 384677231875/4194304 -523693601875/4194304 201590136875/4194304
-228274299375/4194304 540741664375/4194304 -3696038125/65536 612118605625/4194304
