1800
1817479569375/16777216 -3153824499375/33554432 -3820530909375/33554432 -3403712503125/33554432
1162929898125/16777216 -2773274844375/33554432 1586572925625/16777216 -108030121875/16777216
1488326698125/16777216 5044443800625/33554432 2033877650625/33554432 5442964003125/33554432
-2636624368125/33554432 5382268239375/33554432 -4994683396875/33554432 302762199375/33554432
-2867159188125/16777216 4068281086875/33554432 1486153125/16777216 -303762200625/16777216
2722988143125/33554432 -1657322409375/16777216 2974815253125/16777216 -3019498081875/16777216
-94840768125/16777216 312056938125/16777216 -1509674698125/16777216 2066206471875/33554432
2354433778125/33554432 -2176948693125/16777216 1486017658125/16777216 2193879954375/16777216
-354649663125/2097152 -3453200971875/33554432 -371730425625/16777216 949063966875/8388608
-3454077515625/33554432 93005285625/524288 2905281556875/33554432 -2461371080625/33554432
448138749375/16777216 897087594375/16777216 -1825508435625/33554432 3303409100625/33554432
5609085856875/33554432 -3780275900625/33554432 -4413222973125/33554432 5082386248125/33554432
-1134895944375/33554432 -664380095625/16777216 4013719340625/33554432 1104277966875/33554432
672154554375/33554432 -90355606875/524288 1016073613125/33554432 -81163153125/33554432
-5711433631875/33554432 3891445689375/33554432 1621222835625/33554432 -987795433125/8388608
-5345976706875/33554432 706341279375/16777216 1538679898125/33554432 1305207568125/8388608
-3291359698125/33554432 77946249375/524288 128714011875/2097152 1250957829375/33554432
-1636076840625/16777216 -1935848165625/33554432 1315440635625/8388608 -1162717104375/16777216
716033840625/16777216 4122421228125/33554432 -38759979375/16777216 3134213746875/33554432
-483506701875/8388608 -1708496285625/33554432 5498464528125/33554432 -745110354375/16777216
-1080116510625/16777216 692508481875/4194304 -4662809139375/33554432 2562091183125/33554432
1722367186875/16777216 1154783064375/8388608 4396476594375/33554432 -4196090401875/33554432
-4883112815625/33554432 2639331129375/16777216 5281862698125/33554432 62759525625/2097152
-397449388125/8388608 1064457028125/33554432 2168427076875/16777216 -1824606838125/16777216
-2108400035625/16777216 2750833614375/33554432 1934109613125/16777216 -4268638591875/33554432
283169480625/2097152 990997138125/33554432 335722573125/16777216 -6035740205625/33554432
38246968125/33554432 -991182358125/33554432 -4774264464375/33554432 3689402563125/33554432
212352958125/2097152 29110179375/8388608 -5166855140625/33554432 -2598579804375/16777216
-1106146490625/16777216 2287458331875/33554432 24406678125/8388608 73918681875/8388608
5196470529375/33554432 -6023637309375/33554432 -2438947558125/16777216 1165708816875/16777216
-574883173125/4194304 713547163125/4194304 2104915854375/33554432 -2448725934375/33554432
-627819159375/16777216 -4650136633125/33554432 -1835401066875/33554432 -560048495625/33554432
2957465761875/33554432 -2982104150625/33554432 103574953125/8388608 -1844382335625/33554432
1785047810625/16777216 361956189375/8388608 550618869375/16777216 -483893611875/4194304
-1942709315625/33554432 156957069375/4194304 -2817253659375/33554432 -715705700625/4194304
-11689093125/131072 -1850372386875/33554432 385294426875/8388608 -121597925625/2097152
-5345922504375/33554432 2483308400625/33554432 -166354925625/8388608 -338810304375/8388608
1809181254375/33554432 -5458686564375/33554432 -423935184375/33554432 62145939375/2097152
957776383125/16777216 2379414864375/33554432 -2356555696875/33554432 -4003052743125/33554432
5764997458125/33554432 46173133125/16777216 4368544228125/33554432 5674181788125/33554432
-381065799375/16777216 -44985583125/4194304 367230290625/33554432 4789749166875/33554432
382921250625/4194304 -1568130440625/33554432 1129168749375/16777216 3917889095625/33554432
-5217138635625/33554432 2749646773125/33554432 3883293016875/33554432 -406300471875/16777216
-940737549375/16777216 -3701585244375/33554432 -1375510235625/8388608 -1401099924375/16777216
4369435171875/33554432 -516961693125/16777216 -670293084375/33554432 -1905192151875/16777216
919063918125/8388608 -86405495625/33554432 -732428904375/8388608 -202335778125/16777216
5955896941875/33554432 -2655414770625/16777216 83365644375/16777216 473292905625/16777216
-5055667520625/33554432 -729681103125/33554432 -2537973658125/33554432 3383418335625/33554432
-1414695436875/16777216 15456774375/33554432 -2788390861875/16777216 -1234963063125/8388608
3346629136875/33554432 3253494740625/33554432 -543911934375/4194304 -2133750639375/16777216
3102771088125/33554432 659162390625/16777216 1497456545625/8388608 2010737086875/16777216
2652718348125/33554432 -562458211875/4194304 4437380053125/33554432 220834164375/33554432
-1363268176875/16777216 -1399111363125/8388608 3699935949375/33554432 -14726525625/262144
5428041091875/33554432 -785643699375/8388608 145857526875/8388608 -1255433810625/16777216
378324568125/4194304 -2046532865625/33554432 3715489141875/33554432 3001183520625/16777216
-1460591296875/33554432 2923638429375/16777216 1424671104375/33554432 3189804856875/33554432
-2661715906875/16777216 186942785625/8388608 4031241361875/33554432 -4980423841875/33554432
-484909543125/4194304 338102758125/16777216 538926654375/8388608 -2260027929375/33554432
-608394256875/16777216 -5541310423125/33554432 -1296408920625/33554432 1613185914375/16777216
2901645793125/33554432 491201274375/8388608 2095041155625/33554432 -497512321875/33554432
2248507648125/16777216 694225715625/33554432 1418030161875/8388608 -4831937780625/33554432
-1363595799375/16777216 -46931191875/262144 -3663772734375/33554432 3015251285625/16777216
1430641918125/8388608 -372983731875/8388608 -2741267165625/16777216 -745473301875/16777216
1063923688125/8388608 -239480735625/8388608 97313304375/33554432 1371863829375/8388608
-307305230625/4194304 -5736136663125/33554432 -3415316664375/33554432 2065931116875/33554432
-1106378443125/16777216 1408799604375/8388608 2236882966875/33554432 -2708407029375/16777216
54308435625/1048576 -2408798154375/33554432 133787098125/1048576 -2586479146875/33554432
3229282760625/33554432 751762153125/8388608 903647041875/16777216 -1873213295625/33554432
22956564375/1048576 -4016797666875/33554432 -4413328576875/33554432 5938139851875/33554432
4741790866875/33554432 2322821784375/33554432 -444433156875/8388608 -618132583125/8388608
-735745674375/8388608 4959983593125/33554432 6027638506875/33554432 452081705625/16777216
-647113033125/4194304 1341650840625/8388608 -235791961875/16777216 -5106568258125/33554432
2580446638125/33554432 -180015856875/2097152 -553668395625/33554432 -549398323125/16777216
-820311080625/8388608 -931359369375/8388608 -340559938125/4194304 1163647231875/8388608
-206083276875/33554432 944618214375/8388608 734233336875/33554432 -1208667628125/8388608
-5083872688125/33554432 -5857959436875/33554432 4436908126875/33554432 1483788133125/16777216
-1051268878125/33554432 2353610840625/16777216 -2754661876875/33554432 -1315656950625/16777216
-2799340126875/16777216 2185615873125/33554432 3588889663125/33554432 -269177731875/8388608
886530785625/33554432 779905805625/33554432 -775282134375/8388608 686305501875/16777216
562111036875/16777216 -98530678125/4194304 -235822010625/4194304 1931134055625/33554432
2377484510625/16777216 -504203124375/16777216 -4822018250625/33554432 695106736875/16777216
-2442976036875/33554432 1236345744375/8388608 -4210721049375/33554432 5870988286875/33554432
-148767463125/2097152 -5657070751875/33554432 -545869175625/8388608 -1154648491875/8388608
91324198125/4194304 -2502439205625/16777216 -188363131875/33554432 92722381875/2097152
492690279375/8388608 -16087055625/1048576 5231325571875/33554432 -1252830706875/33554432
-2386268600625/16777216 -4253599726875/33554432 -2188581350625/33554432 4523784575625/33554432
-249985209375/2097152 -58732138125/8388608 2339547271875/33554432 5290904863125/33554432
250687040625/33554432 -3286773748125/33554432 850747674375/16777216 -4703267739375/33554432
-2992325799375/16777216 6448336875/524288 -1161595659375/16777216 124502214375/1048576
2321932618125/16777216 -872342555625/33554432 -55032766875/2097152 507573444375/8388608
3766909798125/33554432 -2697086570625/33554432 -1716817854375/33554432 1479110203125/33554432
-1335453373125/16777216 -510468114375/33554432 -85839699375/524288 -1028664691875/33554432
800527381875/8388608 1614660901875/33554432 -278989880625/4194304 1695896409375/33554432
1934334905625/33554432 915431461875/8388608 2844911930625/16777216 -1599321954375/16777216
-868971988125/16777216 983497584375/16777216 1690827958125/16777216 5378173981875/33554432
1240610450625/33554432 -438370363125/8388608 -2411300503125/16777216 -5901534950625/33554432
94941410625/8388608 -193843321875/8388608 601321291875/16777216 492712216875/16777216
-1658231803125/33554432 5250351279375/33554432 897442531875/33554432 -305747488125/4194304
-3336203806875/33554432 2534381341875/33554432 -1421043553125/8388608 -2242403870625/33554432
3254589073125/33554432 1964202935625/16777216 366922918125/4194304 -1929536443125/16777216
-256222963125/33554432 -5614102704375/33554432 3837930643125/33554432 -1266211456875/33554432
-402265850625/8388608 -1121790650625/8388608 -976033018125/33554432 -2445641195625/33554432
-1060792194375/16777216 1737898261875/33554432 49392523125/524288 311104603125/2097152
-264093755625/4194304 375961573125/2097152 71207398125/8388608 -834752289375/33554432
-1369462651875/16777216 6257806875/2097152 3581515411875/33554432 5783807311875/33554432
-2480413213125/33554432 -2582958526875/16777216 -444349558125/33554432 4932567984375/33554432
596532740625/8388608 3831319985625/33554432 139744940625/2097152 -3803794655625/33554432
-2291216506875/33554432 4781100774375/33554432 2738940406875/16777216 -2318684979375/33554432
764726169375/8388608 -4271592763125/33554432 4416684204375/33554432 1648951768125/33554432
62805785625/16777216 4425071338125/33554432 1403266325625/16777216 489748348125/4194304
-2796383930625/16777216 -1268000071875/8388608 4772036694375/33554432 -1340518381875/8388608
-155907354375/2097152 5323158410625/33554432 -761253665625/8388608 -1240785433125/33554432
-5380274908125/33554432 -670535791875/4194304 1819272526875/33554432 -3228186673125/33554432
-15733389375/2097152 57024804375/8388608 1275671458125/8388608 -158042671875/1048576
-671399488125/16777216 1197000500625/16777216 229105411875/8388608 2034427539375/33554432
2175305529375/33554432 1782824248125/33554432 485477814375/33554432 -41490410625/33554432
2710876741875/33554432 247710448125/8388608 -2634856531875/16777216 -5289271925625/33554432
-556575710625/4194304 123802621875/1048576 4178241984375/33554432 113330278125/1048576
-5481348429375/33554432 1227434293125/16777216 -2171993259375/16777216 3912884026875/33554432
3368477964375/33554432 401752153125/16777216 -193594528125/16777216 739264674375/8388608
175377988125/16777216 -1153973941875/8388608 -767391845625/33554432 46077193125/33554432
-325643889375/8388608 -296836880625/33554432 39080728125/4194304 1861141471875/33554432
284955553125/8388608 -2125375936875/16777216 5912816428125/33554432 369964411875/4194304
4177648805625/33554432 1541785663125/33554432 -743432023125/16777216 508891966875/8388608
-294401503125/16777216 3406271990625/33554432 211604090625/2097152 -691195438125/8388608
688958173125/4194304 -3779756960625/33554432 686205140625/33554432 -1584357620625/16777216
237300463125/16777216 680834188125/16777216 3922463908125/33554432 10076855625/262144
418911226875/8388608 -18067325625/8388608 1979189263125/16777216 -766359680625/16777216
-4475887115625/33554432 909790666875/16777216 -4294575163125/33554432 117060969375/33554432
-1346836876875/8388608 5150965944375/33554432 -2255765810625/33554432 1145142736875/33554432
-2082073415625/33554432 690914705625/4194304 2597421673125/16777216 489983371875/8388608
1460019358125/16777216 -2427352599375/33554432 -3321709959375/33554432 -3962900390625/33554432
-5263947320625/33554432 -3729246631875/33554432 -5468170820625/33554432 -413822716875/8388608
-3576715689375/33554432 -699665625/8192 -628826608125/8388608 -4269007209375/33554432
-1981523131875/16777216 -1769460361875/16777216 -532646600625/4194304 5331700074375/33554432
4927416271875/33554432 -3485694369375/33554432 1865226279375/16777216 220538930625/16777216
893411758125/16777216 1349228131875/16777216 -77584213125/524288 -560830561875/4194304
1589962156875/33554432 -2954013598125/33554432 4906639074375/33554432 4664614381875/33554432
-2602596110625/33554432 -2795900900625/16777216 -4223480625/4194304 1948629065625/33554432
3079122508125/33554432 146957563125/4194304 570802415625/33554432 -5032461571875/33554432
1840762411875/16777216 632492701875/16777216 -1799198983125/16777216 1489512166875/8388608
5939011288125/33554432 -1322263074375/33554432 -1447336063125/8388608 1064026366875/16777216
-801469299375/8388608 -588894901875/4194304 851160211875/16777216 4363580728125/33554432
-3776070661875/33554432 -4759457326875/33554432 -3065556763125/33554432 -2386212699375/16777216
-2383275391875/16777216 2248452399375/16777216 934832356875/16777216 1663017114375/16777216
-4774614148125/33554432 -352124971875/4194304 2955071705625/16777216 347586586875/33554432
121555636875/16777216 4955389441875/33554432 2675953389375/33554432 1053914056875/33554432
1485771013125/16777216 787821384375/8388608 -5643140439375/33554432 1487787215625/33554432
2934734518125/16777216 1370383486875/16777216 1449804898125/8388608 -475782913125/8388608
-451286645625/33554432 3881201439375/33554432 51695611875/2097152 934911489375/33554432
-23571388125/1048576 -2889390009375/33554432 2146800121875/33554432 -952782541875/33554432
131600199375/8388608 -5305550135625/33554432 4519267779375/33554432 3809655624375/33554432
-1125793125/33554432 -5952353428125/33554432 207054691875/8388608 1495066303125/33554432
-2435581029375/16777216 286329526875/2097152 -1447476665625/33554432 1740394456875/16777216
-682189464375/8388608 3685066171875/33554432 697868578125/4194304 -128660518125/33554432
-1332194135625/33554432 -4164348256875/33554432 313875556875/16777216 1758955854375/33554432
-3535089541875/33554432 -4570615580625/33554432 3721001900625/33554432 1510579366875/33554432
606242739375/4194304 269911400625/4194304 -1763659288125/16777216 -2883586471875/16777216
-4944200709375/33554432 2390325361875/16777216 3981378583125/33554432 150314304375/16777216
1402846745625/8388608 -1073211204375/16777216 -1135564700625/8388608 -853260991875/16777216
2397711616875/33554432 -2855164550625/33554432 -11903821875/4194304 1767779049375/16777216
-93141106875/33554432 1364602595625/16777216 633389203125/4194304 870411931875/33554432
-3048433126875/33554432 -5936234180625/33554432 -2581800080625/16777216 -1195194965625/16777216
-1025832290625/16777216 -3447578210625/33554432 2726255559375/16777216 2227104444375/16777216
-3487081831875/33554432 593628215625/16777216 4018431875625/33554432 2233149676875/33554432
-3001979818125/16777216 4216755425625/33554432 1813564591875/16777216 -517356523125/33554432
2354537694375/33554432 -59427961875/4194304 -1544394268125/33554432 -5508011188125/33554432
44413498125/33554432 363884653125/8388608 -442071826875/33554432 2684838369375/33554432
-4020782788125/33554432 1323995529375/8388608 150482885625/1048576 -1100298628125/33554432
710323351875/8388608 332581078125/8388608 -1007877436875/8388608 -1941620326875/33554432
-3030923739375/33554432 -1998573215625/33554432 -1338829081875/33554432 -855863758125/33554432
-4776477069375/33554432 840219440625/8388608 276614263125/16777216 5534568196875/33554432
815990833125/33554432 619370690625/8388608 775763926875/8388608 2378415324375/16777216
-2393180791875/16777216 -701939154375/8388608 4539512683125/33554432 290253234375/16777216
5452019105625/33554432 643683211875/33554432 -174442550625/8388608 1945252839375/16777216
-1283148736875/8388608 317968273125/16777216 -1398202160625/33554432 429461836875/33554432
-1090664274375/33554432 -2119515530625/16777216 -4786885963125/33554432 -5983841266875/33554432
2680992961875/33554432 -801740863125/8388608 -163578020625/4194304 -27909995625/262144
-49812575625/16777216 -108546148125/33554432 -3634364109375/33554432 422903379375/33554432
3009616295625/16777216 -5982078065625/33554432 -1769115076875/33554432 3406501130625/33554432
648066830625/4194304 -384073723125/8388608 518834311875/4194304 5919094468125/33554432
256375288125/8388608 -1099967203125/33554432 5245674114375/33554432 -838748806875/33554432
328732183125/2097152 1850408341875/16777216 -496506088125/8388608 103562094375/16777216
-614594649375/33554432 -2887473695625/16777216 651493591875/8388608 -194366514375/2097152
5014520510625/33554432 -1204043428125/8388608 5864149625625/33554432 -6015498226875/33554432
5760425750625/33554432 2038254766875/16777216 715648944375/16777216 5024871860625/33554432
5337818791875/33554432 3848997819375/33554432 287078630625/4194304 -2522863130625/16777216
5462217624375/33554432 1209079299375/16777216 -5218663246875/33554432 -4784227835625/33554432
1219604405625/8388608 4531988311875/33554432 -199729434375/33554432 1959900969375/33554432
3598690573125/33554432 4590940145625/33554432 278872216875/2097152 -1862088553125/33554432
261223059375/4194304 -1927229405625/16777216 -4166748309375/33554432 -951756046875/16777216
-2049953743125/33554432 -339504496875/2097152 -1465351171875/16777216 1506626229375/16777216
-4956534039375/33554432 1055948934375/8388608 -964578155625/16777216 -5042729885625/33554432
-2200793844375/33554432 -1965537309375/33554432 -59795578125/4194304 -4195923474375/33554432
5803242620625/33554432 -2327998933125/33554432 -149229388125/33554432 -1106095595625/8388608
-884184024375/16777216 -602379331875/8388608 -607889210625/33554432 1109134220625/16777216
824870165625/16777216 -4283179565625/33554432 124602665625/33554432 1283955001875/33554432
1601874838125/16777216 33513845625/262144 3709602129375/33554432 -613696044375/16777216
1155477166875/33554432 -583836834375/33554432 -31955878125/16777216 91946368125/2097152
-189086214375/33554432 49243179375/2097152 1779527930625/16777216 1653770615625/16777216
-5085395724375/33554432 -3824634110625/33554432 2917235986875/16777216 -5633018645625/33554432
-108471988125/33554432 -2395669966875/33554432 -2769633759375/33554432 -4976523545625/33554432
-2934289141875/33554432 5837948544375/33554432 703639906875/8388608 2071457386875/33554432
-3018734600625/16777216 4889580091875/33554432 -701305576875/8388608 -3575449344375/33554432
-5983903254375/33554432 -4692987163125/33554432 5863940229375/33554432 -151047556875/8388608
307315355625/16777216 1121919699375/16777216 1665831796875/16777216 632307954375/33554432
-1897632084375/33554432 2730366748125/33554432 -324952745625/2097152 2238980304375/33554432
647060473125/8388608 1741914804375/16777216 -1469810098125/33554432 -643014748125/33554432
374920059375/16777216 3230047603125/33554432 1347523621875/33554432 -875232219375/8388608
-1347535198125/16777216 20360671875/2097152 175390565625/4194304 -621455810625/33554432
5810018248125/33554432 591112096875/8388608 -1476769246875/16777216 -4007584884375/33554432
1420187979375/16777216 473756540625/8388608 -4685931534375/33554432 885803776875/16777216
142124360625/1048576 -1252267655625/8388608 -503090825625/33554432 -827943496875/16777216
287013898125/8388608 -423747601875/8388608 102584615625/33554432 -4541950490625/33554432
-2300469125625/16777216 224497006875/4194304 -1959215293125/16777216 5880138339375/33554432
-649330351875/4194304 1628343759375/33554432 -2201284546875/33554432 3577324809375/33554432
328304998125/33554432 5039073163125/33554432 -287136084375/2097152 -690715085625/4194304
-974166440625/16777216 -51344859375/524288 -231066073125/4194304 -2487373858125/33554432
-1490124785625/8388608 -5854901911875/33554432 1460589260625/16777216 -1484565013125/33554432
-3484228089375/33554432 -834813061875/33554432 -1919185273125/33554432 2266906010625/33554432
-467778841875/4194304 -1633393659375/33554432 3011496879375/33554432 -1970861248125/33554432
-36719319375/2097152 3488326875/131072 -2328389465625/33554432 5029400728125/33554432
-2378522840625/33554432 7083939375/4194304 66967374375/2097152 -820836714375/33554432
-5921857029375/33554432 -2665799218125/16777216 117305544375/2097152 780921343125/33554432
657897778125/8388608 -176204401875/4194304 -290313061875/16777216 -5196194488125/33554432
1311472873125/33554432 1850735908125/16777216 492827574375/33554432 227761138125/33554432
5311817915625/33554432 -633429039375/16777216 4896115925625/33554432 -158681255625/2097152
5465622920625/33554432 -3898859720625/33554432 -4536390515625/33554432 -170469849375/4194304
959490939375/16777216 -5075038535625/33554432 -1250968629375/8388608 -5523204200625/33554432
-2856338499375/33554432 -2839240006875/16777216 -329578014375/4194304 1694052658125/16777216
-94852209375/1048576 2953105790625/33554432 5878411734375/33554432 1609164275625/16777216
-2222666758125/33554432 190274439375/8388608 5546407921875/33554432 -322138985625/8388608
549797293125/4194304 -2769341259375/33554432 -2918418946875/33554432 3248149303125/33554432
-2707429269375/33554432 4624072621875/33554432 -221513979375/4194304 500941096875/16777216
-4790708420625/33554432 1293655483125/8388608 86410524375/33554432 2688128083125/16777216
-2030956093125/33554432 -696906613125/33554432 5811304854375/33554432 2397735748125/16777216
2587851523125/33554432 5289523768125/33554432 5581373990625/33554432 4115498034375/33554432
1399109326875/8388608 -4229657026875/33554432 -1162249003125/33554432 209081345625/2097152
-1781272051875/16777216 43114944375/8388608 -3597568756875/33554432 -312500840625/33554432
-1195257538125/33554432 -2301871663125/16777216 -4978899894375/33554432 342446585625/4194304
2973630088125/16777216 1295084458125/16777216 27153635625/4194304 187792093125/1048576
-209305884375/16777216 2932208769375/33554432 -1119905600625/16777216 -1521558613125/16777216
51051706875/2097152 2857078625625/16777216 2192083824375/33554432 -3004986459375/33554432
-2276295609375/33554432 -264573894375/33554432 -1098553100625/33554432 -2335491691875/16777216
530724616875/4194304 4773696699375/33554432 -1465040896875/33554432 5289217666875/33554432
831893450625/33554432 3087132418125/33554432 1216532255625/16777216 -757094439375/8388608
-1435097525625/8388608 1048535476875/33554432 135995101875/4194304 -6012305623125/33554432
-1666741336875/16777216 55073975625/8388608 -1052088800625/8388608 1125635349375/8388608
-5619893698125/33554432 -3836520736875/33554432 697066734375/4194304 -2035775829375/16777216
-222665360625/16777216 804308124375/33554432 2212246839375/16777216 -4765944335625/33554432
388053061875/16777216 1204087100625/33554432 -1621236256875/33554432 -3378641878125/33554432
2742764326875/33554432 -5885936341875/33554432 -4290222796875/33554432 -4237893230625/33554432
4123711096875/33554432 2453574380625/16777216 -2083731339375/16777216 4362113345625/33554432
-1179663721875/8388608 -118827241875/2097152 139437500625/8388608 -2956960558125/16777216
3861721996875/33554432 221516679375/4194304 188481605625/33554432 -3280714925625/33554432
-770564874375/16777216 2608064251875/33554432 -875342874375/8388608 -306997813125/33554432
829494995625/16777216 -1361619061875/16777216 469757154375/33554432 -1367024270625/16777216
1119528174375/8388608 418186445625/4194304 166080628125/1048576 -40235146875/2097152
-171406715625/16777216 -371837176875/4194304 1435902868125/16777216 5943693245625/33554432
1512536158125/33554432 -4141520994375/33554432 -2606726525625/33554432 -3538964604375/33554432
-2069346740625/33554432 3308394054375/33554432 1782594871875/16777216 -2062624955625/33554432
18307411875/524288 -912825849375/33554432 -396381403125/8388608 -28964728125/4194304
5591637613125/33554432 -3664941733125/33554432 -642836896875/33554432 1353341323125/8388608
674531465625/4194304 5962532315625/33554432 -2208179604375/33554432 -404421024375/4194304
-91703986875/33554432 1615610615625/33554432 -2019238059375/33554432 490858216875/4194304
-976997716875/16777216 680033154375/33554432 -553465276875/4194304 520132516875/33554432
-3990036144375/33554432 -3510171905625/33554432 -550641706875/16777216 1570593504375/16777216
1388296456875/33554432 -5105935738125/33554432 5314579408125/33554432 2292304606875/16777216
-2183649586875/16777216 1495300111875/16777216 5149055255625/33554432 -2647630355625/33554432
-2322692409375/16777216 -735154486875/4194304 -2794825648125/33554432 -5953729010625/33554432
3947464884375/33554432 -546334509375/16777216 -1730483128125/33554432 3224675053125/33554432
1332854083125/16777216 3733096651875/33554432 -481506024375/8388608 -5658473941875/33554432
1210180303125/16777216 -1257138489375/8388608 -780241876875/8388608 -5833580056875/33554432
604509283125/33554432 -5399263423125/33554432 573434218125/33554432 1947334786875/33554432
2606414394375/16777216 -1041677285625/16777216 2723261180625/33554432 -3702240073125/33554432
-148785901875/4194304 5628488596875/33554432 -2355274996875/33554432 -4721329873125/33554432
-1013666214375/8388608 588003564375/4194304 1360450198125/33554432 -403204393125/4194304
-127966100625/33554432 875752464375/16777216 2200903554375/16777216 2746512005625/33554432
-685129483125/16777216 -657464011875/4194304 -4616304406875/33554432 -2189018514375/16777216
1604657761875/33554432 5705928613125/33554432 644127451875/33554432 2675314884375/33554432
278682136875/8388608 -1731156890625/33554432 -284997279375/8388608 -2449279760625/16777216
4914255808125/33554432 -5897901043125/33554432 1218772513125/33554432 -2064316348125/16777216
-4441629571875/33554432 -1113106404375/16777216 1138487956875/8388608 -120276455625/1048576
807915999375/16777216 21031273125/33554432 5227539463125/33554432 2949780144375/16777216
-5844400723125/33554432 -1799177495625/33554432 2345253001875/16777216 -1106994133125/16777216
-2133969046875/16777216 -590274410625/33554432 -416749528125/8388608 -3160436248125/33554432
-575714739375/8388608 -1434534350625/16777216 -624221060625/8388608 -653534746875/16777216
3019890245625/16777216 -2158014920625/33554432 -284322054375/4194304 150028183125/4194304
-142273715625/1048576 1637887899375/16777216 3288997591875/33554432 890362985625/16777216
4472614636875/33554432 11244279375/1048576 -4242533349375/33554432 3156826190625/33554432
5094299660625/33554432 -2269319709375/16777216 334372606875/8388608 156531121875/2097152
4871101325625/33554432 -1348153295625/33554432 1449610543125/16777216 -327086578125/4194304
1890511678125/33554432 933510571875/33554432 1658083134375/33554432 -2970669279375/33554432
2179882333125/33554432 693670955625/16777216 -1814927608125/16777216 5548359448125/33554432
-83821089375/2097152 2593560369375/16777216 -3540423796875/33554432 -325026883125/33554432
5151530311875/33554432 -928605684375/16777216 -1797654661875/16777216 -1526327443125/16777216
-1535434261875/33554432 707943898125/4194304 -1781156728125/33554432 2219855625/2097152
-110412253125/1048576 -850894678125/16777216 5836295401875/33554432 1841382658125/33554432
736708876875/16777216 -2448506086875/33554432 -3597598839375/33554432 -1241199950625/33554432
-3727423501875/33554432 2661781685625/33554432 2189883943125/33554432 -732780793125/4194304
-1333161770625/8388608 -5128382334375/33554432 -77726041875/16777216 -217220146875/2097152
-2821511638125/33554432 -4231637263125/33554432 1554848555625/16777216 -311029081875/33554432
-1952796380625/16777216 -1953374619375/16777216 -313952428125/8388608 1108756501875/16777216
-3413387986875/33554432 -3089482025625/33554432 4361600503125/33554432 2211090159375/33554432
280218875625/2097152 -2208859813125/33554432 814381160625/16777216 -1394668884375/33554432
-319185174375/8388608 1685049733125/33554432 -2387445204375/33554432 -3137716231875/33554432
5766383503125/33554432 -5636560516875/33554432 1298968003125/8388608 3170610624375/33554432
-2744655215625/33554432 492337974375/4194304 -3185722456875/33554432 789451903125/16777216
-175728504375/16777216 396761731875/4194304 512866738125/8388608 2357644258125/16777216
-11083471875/2097152 -2735923123125/33554432 14108304375/8388608 -2721115321875/33554432
-152994819375/4194304 -1269625573125/33554432 333212540625/33554432 -4631467404375/33554432
2276678086875/33554432 492095908125/8388608 -3232358533125/33554432 4452518154375/33554432
-1361777383125/33554432 1004409343125/8388608 -2603107198125/33554432 3756141860625/33554432
-3537740919375/33554432 -4041039560625/33554432 1482267571875/8388608 210324470625/33554432
-1463191875/2097152 -312611270625/8388608 1863603444375/33554432 -1265615668125/33554432
462592310625/33554432 4760458149375/33554432 3574860204375/33554432 -2903753345625/33554432
-1950531474375/16777216 -714971278125/4194304 1025511508125/8388608 -413452704375/8388608
-1519824470625/16777216 2970968169375/33554432 977663795625/33554432 -3468663894375/33554432
-195458079375/2097152 71505995625/8388608 982357419375/33554432 322507231875/16777216
-4862484995625/33554432 1273677114375/8388608 -1702895338125/33554432 -675652584375/33554432
88601698125/33554432 -268920939375/33554432 1022199316875/16777216 3026108131875/33554432
-5362154533125/33554432 -2939026798125/33554432 685506369375/33554432 1968998326875/33554432
-5980178514375/33554432 637205101875/33554432 -3702790389375/33554432 -1757858236875/33554432
-1039931330625/33554432 -1233023045625/8388608 1333434375/16384 -1644104683125/16777216
1148458719375/16777216 8090848125/4194304 759574040625/16777216 -4498322293125/33554432
-487548658125/16777216 -1469758021875/33554432 -3653986134375/33554432 1367303630625/33554432
1954864366875/16777216 -3098345563125/33554432 480777474375/16777216 -241781461875/16777216
-2966919879375/16777216 3367409236875/33554432 4311800859375/33554432 -4451866104375/33554432
1487044895625/16777216 -204152214375/8388608 4983709224375/33554432 -1902440154375/33554432
4613955429375/33554432 -728030345625/4194304 -2041307015625/33554432 -1314427021875/8388608
-4855389823125/33554432 -4897154379375/33554432 -21126481875/131072 2577394591875/33554432
-2975218070625/16777216 -1389975283125/8388608 -2051084638125/33554432 -205597175625/33554432
-2253980109375/16777216 -1671471241875/16777216 -3199211319375/33554432 -49334979375/4194304
-1531588719375/33554432 3190246875/524288 -1583890250625/33554432 -1434483860625/33554432
-1974085554375/16777216 4873601199375/33554432 -1607148185625/33554432 -521769841875/8388608
2827404714375/33554432 1029086578125/8388608 -169084918125/1048576 950843716875/33554432
-573245251875/4194304 -185583245625/8388608 -4953966204375/33554432 250434939375/16777216
-229728065625/16777216 -3128160155625/33554432 -5593590343125/33554432 -3636317728125/33554432
1648497976875/33554432 -615929090625/33554432 215578198125/4194304 2674811311875/33554432
3936010033125/33554432 -1063565431875/33554432 -4499633446875/33554432 3168172749375/33554432
-5363852236875/33554432 -5078423638125/33554432 2482172926875/33554432 254191280625/4194304
-4477305144375/33554432 1717319615625/33554432 -792646745625/16777216 254358275625/8388608
1501251001875/16777216 917416906875/8388608 5047457934375/33554432 2751654031875/16777216
-5101962170625/33554432 -87018789375/33554432 -539997755625/8388608 -111814801875/33554432
-2804738191875/16777216 99060586875/4194304 4151008704375/33554432 4055123863125/33554432
